#swift
58921.87818287 0.7335264356229549 #6002
58927.43406829 0.7333971832735058 #6004
#58928.19592014 0.7336442687546043 #6005
58930.11711227 0.7333812621639098 #6006
#58932.31061343 0.7948178991125046 #6007
58934.60465856 0.7332865524654696 #6008
#58936.45445023 0.6111514060842977 #6009
#58938.28095486 0.7338457098411181 #6010
#58940.80677083 0.7865015057118864 #6011
#0.7333981895484843 #33001
