
#;NAME;P0;P1;BINARY;ASSOC;PSR;
;;(s);;(type);;TYPE;
79;J0110-22;1.262000;*;*;*;*;
80;J0111+6624;4.301872;8.36e-15;*;*;*;
81;J0111-7131;0.688542;7.09e-15;*;EXGAL:SMC;*;
82;J0113-7220;0.325883;4.86e-15;*;EXGAL:SMC;*;
83;J0115+6325;0.521455;1.60e-15;*;*;*;
84;B0114+58;0.101439;5.85e-15;*;XRS:[pb15],GRS:[saa+23];HE[saa+23];
85;J0121+53;2.724785;*;*;*;RRAT[gac+21];
86;J0122+1416;1.388994;3.80e-15;*;*;*;
87;J0125+62;1.708230;*;*;*;*;
88;J0125-2327;0.003675;1.84e-20;ELL1;*;*;
89;J0131-7310;0.348124;1.76e-15;*;EXGAL:SMC;*;
90;J0133-6957;0.463474;1.20e-16;*;*;*;
91;J0134-2937;0.136962;7.84e-17;*;*;*;
92;J0137+1654;0.414763;1.22e-17;*;*;*;
93;J0137+6349;0.717963;9.60e-16;*;*;*;
94;J0139+3336;1.247961;2.06e-15;*;*;RRAT[ttm18];
95;J0139+5621;1.775344;7.91e-14;*;*;*;
96;B0136+57;0.272451;1.07e-14;*;GRS:[saa+23];HE[saa+23];
97;B0138+59;1.222949;3.91e-16;*;*;*;
98;J0141+63;0.046686;*;*;*;*;
99;J0141+6303;0.046680;1.67e-18;*;*;*;
100;J0146+31;0.938100;*;*;*;*;
101;J0146+6145;8.688994;1.99e-12;*;XRS:4U_0142+61;AXP,NRAD;
102;B0144+59;0.196321;2.57e-16;*;*;*;
103;B0148-06;1.464665;4.43e-16;*;*;*;
104;J0152+0948;2.746647;1.70e-15;*;*;*;
105;B0149-16;0.832742;1.30e-15;*;*;*;
106;J0154+1833;0.002365;2.92e-21;*;GRS:[saa+23];HE[saa+23];
107;J0156+04;*;*;*;*;RRAT[dsm+16];
108;B0153+39;1.811561;1.52e-16;*;*;*;
109;B0154+61;2.351745;1.89e-13;*;*;*;
110;J0158+21;0.505300;*;*;*;*;
111;J0201+7005;1.349184;5.51e-15;*;*;RRAT[kkl+15];
112;J0203-0150;0.005173;1.43e-20;ELL1;*;*;
113;J0205+6449;0.065716;1.94e-13;*;GRS:4FGL_J0205.7+6449[aab+22],SNR:3C58[b;HE[aab+22];
114;B0203-40;0.630551;1.20e-15;*;*;*;
115;J0209+4331;0.863883;5.72e-17;*;*;*;
116;J0209+5759;1.063906;1.39e-14;*;*;*;
117;J0210+5845;1.766208;1.34e-13;*;*;*;
118;J0211+4235;0.350731;1.11e-18;*;*;*;
119;J0211-8159;1.077333;2.90e-16;*;*;*;
120;J0212+5222;0.376386;6.60e-15;*;*;*;
121;J0214+5222;0.024575;2.96e-19;BT;*;*;
122;J0215+6218;0.548880;6.62e-16;*;*;*;
123;J0218+4232;0.002323;7.74e-20;ELL1;GRS:4FGL_J0218.1+4232[aab+22];HE[khvb98],HE[aaa+09f];
124;J0220+3626;1.029700;*;*;*;*;
125;J0227+3356;1.240102;2.85e-15;*;*;*;
126;J0229+20;0.806900;*;*;*;*;
127;B0226+70;1.466820;3.11e-15;*;*;*;
128;J0241+16;1.545400;*;*;*;*;
129;J0242+62;0.592000;*;*;*;*;
130;J0243+6027;1.473000;*;*;*;*;
131;J0244+14;2.128100;*;*;*;*;
132;J0248+4230;0.002601;1.69e-20;*;GRS:4FGL_J0248.6+4230[brj+21];HE[brj+21];
133;J0248+6021;0.217094;5.51e-14;*;GRS:4FGL_J0248.4+6021[aab+22];HE[tpc+11];
134;J0250+5854;23.535378;2.72e-14;*;*;*;
135;J0251+2606;0.002542;7.57e-21;ELL1;GRS:4FGL_J0251.0+2605[drc+21];HE[cck+16];
136;B0254-53;0.447708;3.13e-17;*;*;*;
137;J0301+35;0.568320;*;*;*;*;
138;J0302+2252;1.207165;8.25e-17;*;*;*;
139;B0301+19;1.387584;1.30e-15;*;*;*;
140;J0305+11;0.862100;*;*;*;*;
141;J0307+7443;0.003156;1.73e-20;ELL1;GRS:4FGL_J0307.8+7443[aab+22];HE[hrm+11],HE[aab+22];
142;J0312-0921;0.003704;1.97e-20;ELL1;GRS:4FGL_J0312.1-0921[aab+22];HE[trr+21],HE[aab+22];
143;J0317+13;1.974300;*;*;*;*;
144;J0318+0253;0.005190;1.76e-20;*;GRS:4FGL_J0318.2+0254[aab+22];HE[wlz+18];
145;B0320+39;3.032072;6.36e-16;*;*;*;
146;J0324+5239;0.336620;3.81e-16;*;*;*;
147;J0325+6744;1.364679;1.55e-15;*;*;*;
148;J0329+1654;0.893320;2.15e-16;*;*;*;
149;B0329+54;0.714520;2.05e-15;*;*;*;
150;B0331+45;0.269201;7.35e-18;*;*;*;
151;J0335+6623;1.761934;4.81e-15;*;*;*;
152;J0337+1715;0.002733;1.77e-20;ELL1;OPT:[rsa+14],XRS:[ska+16];*;
153;J0337+79;2.056210;*;*;*;RRAT[kkl+15];
154;J0340+4130;0.003299;7.05e-21;*;GRS:4FGL_J0340.3+4130[aab+22];HE[aab+22];
155;J0341+5711;1.888000;*;*;*;*;
156;J0343+06;1.007640;*;*;*;*;
157;B0339+53;1.934478;1.34e-14;*;*;*;
158;J0343-3000;2.597027;5.70e-17;*;*;*;
159;J0344-0901;1.226006;3.47e-15;*;*;*;
160;J0348+0432;0.039123;2.41e-19;ELL1;*;*;
161;J0349+2340;2.420771;1.10e-15;*;*;*;
162;J0355+28;0.365000;*;*;*;*;
163;J0357+3205;0.444104;1.30e-14;*;GRS:4FGL_J0357.8+3204[aab+22];NRAD[aab+22];
164;B0353+52;0.197030;4.77e-16;*;*;*;
165;J0358+4155;0.226484;1.46e-16;*;*;*;
166;B0355+54;0.156384;4.39e-15;*;XRS:PWN[mvk+06];HE[to07];
167;J0358+6627;0.091506;1.09e-17;*;*;*;
168;J0359+5414;0.079427;1.67e-14;*;GRS:4FGL_J0359.4+5414[aab+22],XRS:[wcp+1;NRAD[aab+22];
169;B0403-76;0.545254;1.54e-15;*;*;*;
170;J0402+4825;0.512194;2.75e-16;*;*;*;
171;J0405+3347;0.063954;1.64e-19;*;*;*;
172;J0406+30;0.002600;*;*;*;*;
173;B0402+61;0.594576;5.57e-15;*;*;*;
174;J0407+1607;0.025702;7.90e-20;BT;*;*;
175;J0408+551;1.837000;*;*;*;*;
176;J0408+552;0.754000;*;*;*;*;
177;J0410-31;1.878500;*;*;*;RRAT;
178;J0413+58;0.687000;*;*;*;*;
179;J0414+31;1.081000;*;*;*;*;
180;J0415+6111;0.440189;5.43e-17;*;*;*;
181;B0410+69;0.390715;7.66e-17;*;*;*;
182;J0417+35;0.654400;*;*;*;*;
183;J0417+61;0.440283;*;*;*;*;
184;J0418+5732;9.078388;4.10e-15;*;XRS:SGR_0418+5729;AXP,NRAD;
185;J0418+6635;0.002910;1.37e-20;*;GRS:4FGL_J0418.9+6636[aab+22];HE[trr+21],HE[aab+22];
186;J0418-4154;0.757119;1.32e-15;*;*;*;
187;J0419+44;1.241000;*;*;*;*;
188;J0420-5022;3.453004;2.76e-14;*;XRS:RX_J0420.0-5022[hmp98],OPT:[kkvh11];XINS,NRAD;
189;J0421+3255;0.900105;6.00e-17;*;*;*;
190;J0421-0345;2.161308;1.16e-15;*;*;*;
191;J0426+4933;0.922475;3.93e-14;*;*;*;
192;J0435+2749;0.326279;8.17e-18;*;*;*;
193;J0437-4715;0.005757;5.73e-20;T2;GRS:4FGL_J0437.2-4715[aab+22],OPT:[bbm+9;HE[bt93],HE[aaa+09f];
194;J0447+2447;0.002995;8.00e-21;*;*;*;
195;J0447-04;2.188190;*;*;*;RRAT;
196;J0448-2749;0.450448;1.48e-16;*;*;*;
197;J0449-7031;0.479164;3.37e-15;*;EXGAL:LMC;*;
198;B0447-12;0.438014;1.03e-16;*;*;*;
199;J0451-67;0.245454;0.00e+00;*;EXGAL:LMC;*;
200;B0450-18;0.548939;5.75e-15;*;*;*;
201;J0453+1559;0.045782;1.86e-19;DDH;*;*;
202;J0454+4529;1.389137;4.89e-15;*;*;*;
203;B0450+55;0.340729;2.37e-15;*;*;*;
204;B0456-69;0.320423;1.02e-14;*;EXGAL:LMC;*;
205;J0456-69;0.117073;*;*;EXGAL:LMC;*;
206;J0456-7031;0.800132;3.67e-14;*;EXGAL:LMC;*;
207;J0457+23;0.504900;*;*;*;*;
208;J0457-6337;2.497012;2.10e-16;*;*;*;
209;J0457-69;0.231390;*;*;EXGAL:LMC;*;
210;J0458-0505;1.883480;5.30e-16;*;*;*;
211;J0458-67;1.133900;*;*;EXGAL:LMC;*;
212;J0459-0210;1.133076;1.40e-15;*;*;*;
213;J0501+4516;5.762097;5.82e-12;*;OPT:[dml+11];AXP,NRAD;
214;B0458+46;0.638565;5.58e-15;*;*;*;
215;B0502-66;0.691251;2.31e-14;*;EXGAL:LMC;*;
216;J0506+50;0.003390;*;*;GRS:4FGL_J0506.1+5028[aab+22];HE[qpl+19],HE[aab+22];
217;J0509+0856;0.004056;4.41e-21;ELL1;*;*;
218;J0509+37;2.496100;*;*;*;*;
219;J0509+3801;0.076541;7.93e-18;DDGR;*;*;
220;J0511-6508;0.322062;2.06e-16;*;*;*;
221;J0514-4002A;0.004991;6.97e-22;DDH;GC:NGC1851[fgri04];*;
222;J0514-4002B;0.002816;*;*;GC:NGC1851[rfg+22];*;
223;J0514-4002C;0.005565;*;*;GC:NGC1851[rfg+22];*;
224;J0514-4002D;0.004554;*;BT;GC:NGC1851[rfg+22];*;
225;J0514-4002E;0.005596;*;BT;GC:NGC1851[rfg+22];*;
226;J0514-4002F;0.004329;*;BT;GC:NGC1851[rfg+22];*;
227;J0514-4002G;0.003803;*;BT;GC:NGC1851[rfg+22];*;
228;J0514-4002H;0.005506;*;BT;GC:NGC1851[rfg+22];*;
229;J0514-4002I;0.032654;*;BT;GC:NGC1851[rfg+22];*;
230;J0514-4002J;0.006633;*;*;GC:NGC1851[rfg+22];*;
231;J0514-4002K;0.004692;*;*;GC:NGC1851[rfg+22];*;
232;J0514-4002L;0.002959;*;BT;GC:NGC1851[rfg+22];*;
233;J0514-4002M;0.004798;*;*;GC:NGC1851[rfg+22];*;
234;J0514-4002N;0.005568;*;*;GC:NGC1851[rfg+22];*;
235;J0514-4408;0.320271;2.04e-15;*;GRS:4FGL_J0514.6-4408[saa+23];HE[brs+19];
236;J0517+2212;0.222367;1.16e-17;*;*;*;
237;J0518+2431;2.636940;6.86e-16;*;*;*;
238;J0518+5125;0.912512;1.91e-16;*;*;*;
239;J0518+5416;0.340203;1.68e-15;*;*;*;
240;J0519+44;0.515000;*;*;*;*;
241;J0519-6932;0.263212;6.97e-16;*;EXGAL:LMC;*;
242;J0520-2553;0.241642;3.01e-17;*;*;*;
243;J0521-68;0.433421;*;*;EXGAL:LMC;*;
244;J0522-6847;0.674532;1.77e-14;*;EXGAL:LMC;*;
245;J0523-7125;0.322500;*;*;EXGAL:LMC;*;
246;B0523+11;0.354438;7.36e-17;*;*;*;
247;J0525-6607;8.047000;6.50e-11;*;XRS:SGR_0526-66,SNR:N49(?)[ekl+80];AXP,NRAD;
248;B0525+21;3.745539;4.01e-14;*;*;*;
249;J0529-0715;0.689224;5.75e-16;*;*;*;
250;B0529-66;0.975737;1.55e-14;*;EXGAL:LMC;*;
251;J0530-39;0.907000;*;*;*;*;
252;J0532-6639;0.642743;5.35e-15;*;EXGAL:LMC;*;
253;J0532-69;1.149196;*;*;EXGAL:LMC;*;
254;J0533+0402;0.963018;1.60e-16;*;*;*;
255;J0533+6759;0.004388;1.26e-20;*;GRS:4FGL_J0533.8+6800[aab+22];HE[aab+22];
256;J0533-4524;0.157285;2.80e-16;*;*;*;
257;B0531+21;0.033392;4.21e-13;*;GRS:4FGL_J0534.5+2200[aab+22],SNR:Crab[c;HE[cdt69],HE[fhm+69],HE[h;
258;J0534+34;*;*;*;*;RRAT[ttm18];
259;J0534-13;0.979000;*;*;*;*;
260;J0534-6703;1.817565;4.25e-13;*;EXGAL:LMC;*;
261;J0535-66;0.210524;*;*;EXGAL:LMC;*;
262;J0535-6935;0.200511;1.15e-14;*;EXGAL:LMC;*;
263;B0538-75;1.245856;5.78e-16;*;*;*;
264;J0537-69;0.112613;*;*;EXGAL:LMC;*;
265;J0537-6910;0.016122;5.18e-14;*;EXGAL:LMC,SNR:N157B;NRAD;
266;J0538+2817;0.143158;3.67e-15;*;SNR:S147[acj+96];HE[mkz+03];
267;J0540+3207;0.524271;4.48e-16;*;*;*;
268;J0540+4542;0.401141;1.17e-17;*;*;*;
269;B0540-69;0.050570;4.79e-13;*;GRS:4FGL_J0540.3-6920[aab+22],EXGAL:LMC,;HE[mp85];
270;J0540-7125;1.286015;8.20e-16;*;*;*;
271;J0542-68;0.425189;*;*;EXGAL:LMC;*;
272;B0540+23;0.245975;1.54e-14;*;XRS:[pb15];*;
273;J0543-6851;0.708954;3.94e-15;*;EXGAL:LMC;*;
274;J0544+20;*;*;*;*;RRAT[dsm+16];
275;J0545-03;1.073930;*;*;*;RRAT;
276;J0546+2441;2.843850;7.65e-15;*;*;*;
277;J0550+09;1.745000;*;*;*;RRAT[dsm+16];
278;J0553+4111;0.559493;1.37e-17;*;*;*;
279;J0554+3107;0.464961;1.43e-13;*;GRS:4FGL_J0554.1+3107[aab+22],SNR:G179.0;NRAD[aab+22];
280;J0555+3948;1.146906;*;*;*;*;
281;J0555-7056;0.827838;5.96e-15;*;EXGAL:LMC;*;
282;J0556-67;0.790549;*;*;EXGAL:LMC;*;
283;J0557+1550;0.002556;7.35e-21;ELL1;*;*;
284;J0557-2948;0.043643;7.30e-20;*;*;*;
285;B0559-57;2.261365;2.78e-15;*;*;*;
286;B0559-05;0.395969;1.30e-15;*;*;*;
287;J0605+3757;0.002728;4.72e-21;BT;GRS:4FGL_J0605.1+3757[aab+22];HE;
288;J0608+00;1.076200;*;*;*;*;
289;J0608+1635;0.945845;1.35e-14;*;*;*;
290;J0609+2130;0.055698;2.35e-19;*;*;*;
291;J0610-2100;0.003861;1.23e-20;ELL1;GRS:4FGL_J0610.2-2100[aab+22],OPT:[pmd+1;HE[egc+13];
292;J0611+04;1.674430;*;*;*;*;
293;J0611+1436;0.270329;4.00e-15;*;*;*;
294;J0611+30;1.412090;*;*;*;*;
295;B0609+37;0.297982;5.95e-17;*;*;*;
296;J0612+37216;0.443871;1.50e-16;*;*;*;
297;J0613+3731;0.619198;3.24e-15;*;*;*;
298;J0613-0200;0.003062;9.59e-21;T2;GRS:4FGL_J0613.7-0201[aab+22];HE[aab+22];
299;B0611+22;0.334960;5.94e-14;*;*;*;
300;J0614+83;1.039200;*;*;*;*;
301;J0614-3329;0.003149;1.74e-20;ELL1;GRS:4FGL_J0614.1-3329[aab+22];HE[aab+22];
302;J0621+0336;0.269954;7.24e-18;*;*;*;
303;J0621+1002;0.028854;4.73e-20;DD;*;*;
304;J0621+2514;0.002722;2.48e-20;ELL1;GRS:4FGL_J0621.2+2512[aab+22];HE[aab+22];
305;J0621-55;*;*;*;*;RRAT;
306;J0622+3749;0.333208;2.54e-14;*;GRS:4FGL_J0622.2+3749[aab+22];NRAD[aab+22];
307;J0623+0340;0.613760;8.84e-17;*;*;*;
308;B0621-04;1.039076;8.30e-16;*;*;*;
309;J0625+10;0.498397;*;*;*;*;
310;J0627+0649;0.346523;1.70e-15;*;*;*;
311;J0627+0706;0.475885;2.98e-14;*;*;*;
312;J0627+16;2.180000;*;*;*;RRAT;
313;J0628+0909;1.241421;5.48e-16;*;*;RRAT;
314;B0626+24;0.476623;2.00e-15;*;*;*;
315;J0630+19;1.248550;*;*;*;*;
316;J0630-0046;0.680575;3.75e-15;*;*;*;
317;B0628-28;1.244419;7.12e-15;*;XRS:RX_J0630.8-2834[bjk+05];HE[to05];
318;J0631+0646;0.110979;3.62e-15;*;GRS:4FGL_J0631.8+0645[aab+22];HE[wcp+18];
319;J0631+1036;0.287816;1.03e-13;*;GRS:4FGL_J0631.5+1036[aab+22];HE[tsn+01],HE[waa+10];
320;J0633+0632;0.297395;7.96e-14;*;GRS:4FGL_J0633.7+0632[aab+22],XRS:Swift_;NRAD[aab+22];
321;J0633+1746;0.237099;1.10e-14;*;GRS:4FGL_J0633.9+1746[aab+22],XRS:1E0630;HE[aab+22];
322;J0633-2015;3.253211;3.82e-15;*;*;*;
323;J0635+0533;0.033856;*;*;OPT:Be-star;NRAD;
324;J0636+5128;0.002869;3.51e-21;T2;XRS:[ska+16],GRS:[sbc+19];HE[sbc+19];
325;J0636-23;0.476000;*;*;*;*;
326;J0636-3044;0.003946;*;*;*;*;
327;J0636-4549;1.984597;3.17e-15;*;*;*;
328;J0637+0332g;*;*;*;*;RRAT[zhx+23];
329;J0641+07;*;*;*;*;RRAT[ttm18];
330;J0645+5158;0.008853;4.92e-21;*;XRS:[ska+16];*;
331;J0645+80;0.657870;*;*;*;*;
332;J0646+0905;0.903913;7.36e-16;*;*;*;
333;J0646-54;0.002510;*;*;GRS:4FGL_J0646.4-5455[aab+22];HE[aab+22];
334;J0647+0913;1.234854;6.42e-15;*;*;*;
335;J0648-27;4.169000;*;*;*;*;
336;J0652-0142;0.924054;1.52e-16;*;*;*;
337;J0653+4706;0.004758;2.08e-20;ELL1;GRS:4FGL_J0652.9+4707[aab+22];HE;
338;B0643+80;1.214441;3.80e-15;*;*;*;
339;J0653-06;0.790000;*;*;*;RRAT[cwp+17];
340;J0656-2228;1.224754;2.67e-17;*;*;*;
341;J0656-5449;0.183157;3.19e-17;*;*;*;
342;J0658+0022;0.563295;9.15e-15;*;*;*;
343;J0658+2936;0.823701;1.44e-15;*;*;*;
344;B0656+14;0.384929;5.49e-14;*;GRS:4FGL_J0659.7+1416[aab+22],SNR:Monoge;HE[chmm89],HE[rfk+96],HE[;
345;J0659-36;0.637000;*;*;*;*;
346;B0655+64;0.195671;6.85e-19;BT;*;*;
347;J0702-4956;0.665994;*;*;*;*;
348;J0709+0458;0.034429;3.80e-19;DDH;*;*;
349;J0709-5923;0.485268;1.26e-16;*;*;*;
350;J0711+0931;1.214090;4.00e-16;*;*;*;
351;J0711-6830;0.005491;1.49e-20;*;*;*;
