
#;NAME;P0;P1;BINARY;ASSOC;PSR;
;;(s);;(type);;TYPE;
399;J0815+0939;0.645161;1.39e-16;*;*;*;
400;J0815+4611;0.434242;3.90e-18;*;*;*;
401;J0818-3049;0.763742;5.80e-16;*;*;*;
402;J0818-3232;2.161259;7.53e-16;*;*;*;
403;B0818-13;1.238130;2.11e-15;*;*;*;
404;J0820-3826;0.124837;2.44e-15;*;*;*;
405;J0820-3921;1.073567;1.22e-14;*;*;*;
406;B0818-41;0.545446;1.98e-17;*;*;*;
407;J0821-4221;0.396728;3.48e-15;*;*;*;
408;J0821-4300;0.112799;9.29e-18;*;SNR:PUPPIS_A,XRS:RX_J0822-4300;NRAD;
409;B0820+02;0.864873;1.05e-16;BT;*;*;
410;J0824+0028;0.009861;1.47e-19;DDH;*;*;
411;B0823+26;0.530661;1.71e-15;*;*;HE[bwt+04];
412;J0827+53;0.013500;*;*;*;*;
413;B0826-34;1.848919;9.96e-16;*;*;*;
414;J0831-4406;0.311674;1.28e-15;*;*;*;
415;J0834-4159;0.121118;4.28e-15;*;*;*;
416;J0834-60;0.384645;*;*;*;*;
417;J0835-3707;0.541404;9.78e-15;*;*;*;
418;B0833-45;0.089328;1.25e-13;*;GRS:4FGL_J0835.3-4510[aab+22],SNR:Vela,G;HE[hg73],HE[tfko75];
419;J0836-4233;0.738436;1.32e-15;*;*;*;
420;B0834+06;1.273768;6.80e-15;*;*;*;
421;J0837-2454;0.629410;3.49e-13;*;*;*;
422;B0835-41;0.751625;3.54e-15;*;*;*;
423;J0838-2621;0.308581;3.90e-17;*;*;*;
424;J0838-3947;1.703946;8.13e-16;*;*;*;
425;J0839-66;0.449339;*;*;*;*;
426;B0839-53;0.720614;1.64e-15;*;*;*;
427;B0840-48;0.644354;9.56e-15;*;*;*;
428;J0843+0719;1.365860;*;*;*;*;
429;J0843+67;0.002846;*;BT;GRS:4FGL_J0843.3+6712[aab+22];HE[trr+21],HE[aab+22];
430;J0843-5022;0.208956;1.72e-16;*;*;*;
431;B0844-35;1.116098;1.60e-15;*;*;*;
432;J0847-4316;5.977493;1.20e-13;*;*;RRAT;
433;J0848+16;0.452400;*;*;*;*;
434;B0841+80;1.602228;4.46e-16;*;*;*;
435;J0849-6322;0.367953;7.91e-16;*;*;*;
436;J0853-4648;0.473156;*;*;*;*;
437;J0854+5449;1.233033;3.12e-16;*;*;*;
438;B0853-33;1.267536;6.32e-15;*;*;*;
439;J0855-4644;0.064686;7.26e-15;*;SNR:RX_J0852.0-4622[rm05],PWN:[mav17],PW;*;
440;J0855-4658;0.575072;1.36e-14;*;*;*;
441;B0855-61;0.962511;1.68e-15;*;*;*;
442;J0857+3349;0.242961;2.40e-16;*;*;*;
443;J0857-4424;0.326786;2.09e-14;*;*;*;
444;J0900-3144;0.011110;4.89e-20;ELL1;*;*;
445;J0901-4624;0.441995;8.75e-14;*;*;*;
446;B0901-63;0.660313;1.07e-16;*;*;*;
447;B0903-42;0.965173;1.88e-15;*;*;*;
448;B0904-74;0.549554;4.61e-16;*;*;*;
449;J0905-4536;0.988281;1.49e-16;*;*;*;
450;J0905-5127;0.346301;2.49e-14;*;*;*;
451;J0905-6019;0.340854;5.22e-16;*;*;*;
452;B0905-51;0.253558;1.83e-15;*;*;*;
453;B0906-17;0.401626;6.69e-16;*;*;*;
454;B0906-49;0.106769;1.51e-14;*;GRS:4FGL_J0908.7-4911[aab+22],PWN:[gsfj9;HE[dmd+88],HE[aab+22];
455;B0909-71;1.362890;3.27e-16;*;*;*;
456;B0904+77;1.579050;*;*;*;*;
457;J0911-42;1.940636;*;*;*;*;
458;J0912-3851;1.526085;3.59e-15;*;*;RRAT;
459;J0916-5243;1.310444;*;*;*;*;
460;J0917-4413;0.052905;*;*;*;*;
461;J0919-42;0.812600;*;*;*;*;
462;J0919-6040;1.216976;1.00e-17;*;*;*;
463;B0917+63;1.567994;3.61e-15;*;*;*;
464;J0921-5202;0.009680;1.70e-20;ELL1;*;*;
465;B0919+06;0.430627;1.37e-14;*;GRS:4FGL_J0922.3+0644[aab+22],XRS:[pb15];HE[aab+22];
466;J0922-4534;0.004417;*;*;*;*;
467;J0922-4949;0.950289;9.76e-14;*;*;*;
468;J0923-31;*;*;*;*;RRAT;
469;B0922-52;0.746338;3.53e-14;*;*;*;
470;B0923-58;0.739505;4.92e-15;*;*;*;
471;J0925+6103;0.005983;1.61e-20;ELL1;*;*;
472;J0927+2345;0.761889;3.05e-16;*;*;*;
473;J0927-5242;0.327951;*;*;*;*;
474;J0928+06;2.060400;*;*;*;*;
475;J0928+30;2.091500;*;*;*;*;
476;J0930-1854;*;*;*;*;RRAT(?)[bbc+22];
477;J0930-2301;1.807069;3.36e-15;*;*;*;
478;J0931-1902;0.004638;3.63e-21;*;GRS:4FGL_J0931.2-1906[aab+22];HE[abb+15],HE[aab+22];
479;J0932-3217;1.931627;2.50e-16;*;*;*;
480;J0932-5327;4.392159;8.37e-15;*;*;*;
481;J0933-4604;3.669910;*;*;*;*;
482;J0934-4154;0.570409;2.69e-16;*;*;*;
483;B0932-52;1.444777;4.65e-15;*;*;*;
484;J0935+33;0.961500;*;*;*;*;
485;J0936-4750;0.522581;*;*;*;*;
486;J0940-5428;0.087545;3.29e-14;*;GRS:4FGL_J0941.1-5429[aab+22];HE[mlc+01],HE[aab+22];
487;J0941-39;0.586778;*;*;*;RRAT;
488;J0941-5244;0.658558;1.14e-15;*;*;*;
489;B0940-55;0.664389;2.27e-14;*;*;*;
490;B0941-56;0.808164;3.96e-14;*;*;*;
491;B0940+16;1.087418;9.11e-17;*;*;*;
492;J0943+2253;0.532975;8.98e-17;*;*;*;
493;J0943-5305;1.734000;*;*;*;RRAT(?)[bbc+22];
494;J0944+4106;2.229431;4.42e-15;*;*;*;
495;B0942-13;0.570264;4.53e-17;*;*;*;
496;J0945-4833;0.331586;4.83e-15;*;*;*;
497;B0943+10;1.097706;3.49e-15;*;XRS:[zsp05];*;
498;J0947+2740;0.851014;4.30e-16;*;*;*;
499;J0948-5549;0.166095;*;*;*;*;
500;J0949-6902;0.640016;6.37e-16;*;*;*;
501;J0951-71;0.212378;*;*;*;*;
502;J0952-0607;0.001414;4.77e-21;ELL1;GRS:4FGL_J0952.1-0607[aab+22],OPT:[bph+1;HE[ncb+19];
503;B0950-38;1.373815;5.80e-16;*;*;*;
504;B0950+08;0.253065;2.30e-16;*;*;HE[bwt+04];
505;J0954-5430;0.472851;4.39e-14;*;*;*;
506;J0954-5754;0.004835;*;?;*;*;
507;B0953-52;0.862122;3.53e-15;*;*;*;
508;J0955-6150;0.001999;1.43e-20;DD;GRS:4FGL_J0955.4-6151[aab+22];HE[ckr+15];
509;J0957-06;1.723700;*;*;*;RRAT;
510;J0957-0619;1.723712;1.49e-16;*;*;*;
511;J0957-5432;0.203557;1.95e-15;*;*;*;
512;B0957-47;0.670086;8.47e-17;*;*;*;
513;J1000+08;0.440372;*;*;*;*;
514;J1000-5149;0.255677;9.59e-16;*;*;*;
515;B0959-54;1.436631;5.16e-14;*;*;*;
516;J1001-5559;1.661177;8.60e-16;*;*;*;
517;J1001-5603;0.379533;*;*;*;*;
518;J1001-5939;7.733640;5.99e-14;*;*;*;
519;J1002-5559;0.777501;1.57e-15;*;*;*;
520;J1002-5919;0.713489;1.04e-16;*;*;*;
521;B1001-47;0.307074;2.07e-15;*;*;*;
522;J1005+30;*;*;*;*;RRAT[ttm18];
523;J1006-6311;0.835797;5.73e-16;*;*;*;
524;J1010+15;*;*;*;*;RRAT[dsm+13];
525;J1012+5307;0.005256;1.71e-20;ELL1;OPT:[cgk98];HE[wob+04];
526;B1010-23;2.517945;8.81e-16;*;*;*;
527;J1012-4235;0.003101;*;BT;GRS:4FGL_J1012.1-4235[aab+22];HE[ckr+15];
528;J1012-5830;2.133591;3.77e-14;*;*;*;
529;B1011-58;0.819926;1.78e-14;*;*;*;
530;J1013-5934;0.442901;5.56e-16;*;*;*;
531;J1014-48;1.508800;*;*;*;RRAT;
532;J1015-5359;0.020800;*;?;*;*;
533;J1015-5719;0.139882;5.74e-14;*;*;*;
534;B1014-53;0.769586;1.93e-15;*;*;*;
535;J1016-5819;0.087834;6.99e-16;*;*;*;
536;J1016-5857;0.107386;8.08e-14;*;GRS:4FGL_J1016.3-5857[aab+22],SNR:G284.3;HE[aab+22];
537;J1017+3011;0.452785;5.70e-16;*;*;*;
538;B1015-56;0.503463;3.14e-15;*;*;*;
539;J1017-7156;0.002339;2.21e-21;T2;*;*;
540;J1018-1523;0.083153;1.09e-19;DD;*;*;
541;B1016-16;1.804695;1.74e-15;*;*;*;
542;J1019-5749;0.162506;2.01e-14;*;GRS:4FGL_J1019.8-5749[aab+22];HE[kbm+03],HE[aab+22];
543;J1020-5510;0.003943;*;*;*;*;
544;J1020-5921;1.238305;4.05e-14;*;*;*;
545;J1020-6026;0.140481;6.74e-15;*;*;*;
546;J1020-6158;0.282879;*;*;*;*;
547;J1021-5601;0.670026;5.34e-17;*;*;*;
548;J1022+1001;0.016453;4.33e-20;T2;*;*;
549;J1022-5813;1.643726;1.45e-13;*;*;*;
550;J1023+0038;0.001688;6.93e-21;T2;OPT:AY_Sex[asr+09],XRS:[akb+10];HE[jah+16],HE[aps+17];
551;J1023-5746;0.111472;3.84e-13;*;GRS:4FGL_J1023.0-5745[aab+22],GRS:HESS_J;NRAD;
552;J1024-0719;0.005162;1.86e-20;*;GRS:4FGL_J1024.5-0719[aab+22],OPT:2MASS_;HE[egc+13];
553;J1028-5819;0.091403;1.61e-14;*;GRS:4FGL_J1028.5-5819[aab+22];HE[aaa+09];
554;J1030-6008;0.027324;*;?;*;*;
555;J1031-6117;0.306411;1.78e-15;*;*;*;
556;J1032-5206;2.407622;1.79e-14;*;*;*;
557;B1030-58;0.464213;1.80e-15;*;*;*;
558;J1034-3224;1.150590;2.30e-16;*;*;*;
559;J1034-5817;0.791480;*;*;*;*;
560;J1034-5934;0.034471;*;?;*;*;
561;J1035-6345;0.579577;3.50e-16;*;*;*;
562;J1035-6720;0.002872;4.65e-20;*;GRS:4FGL_J1035.4-6720[aab+22];HE[cpw+18];
563;J1036-4353;0.001680;*;ELL1;*;*;
564;J1036-4926;0.510369;1.65e-15;*;*;*;
565;J1036-6559;0.533502;1.36e-15;*;*;*;
566;J1036-8317;0.003408;*;BT;GRS:4FGL_J1036.5-8318[aab+22];HE[ckr+15];
567;J1038+0032;0.028852;6.70e-20;*;*;*;
568;B1036-58;0.661992;1.25e-15;*;*;*;
569;J1039-6108;0.271553;*;*;*;*;
570;J1039-6208;1.246563;*;*;*;*;
571;B1039-19;1.386368;9.45e-16;*;*;*;
572;B1039-55;1.170867;6.72e-15;*;*;*;
573;J1043-6116;0.288605;1.04e-14;*;*;*;
574;J1044-5737;0.139029;5.46e-14;*;GRS:4FGL_J1044.4-5737[aab+22],GRS:1AGL_J;NRAD[aab+22];
575;J1045-0436;0.024048;7.86e-20;ELL1;*;*;
576;J1045-4509;0.007474;1.77e-20;T2;*;*;
577;J1046+0304;0.326271;1.24e-16;*;*;*;
578;B1044-57;0.369428;1.15e-15;*;*;*;
579;J1047-3032;0.330328;6.10e-17;*;*;*;
580;J1047-6709;0.198451;1.69e-15;*;*;*;
581;J1048+2339;0.004665;3.01e-20;BTX;GRS:4FGL_J1048.6+2340[aab+22];HE[drc+21];
582;J1048+5349;2.730862;1.22e-15;*;*;*;
583;B1046-58;0.123725;9.61e-14;*;GRS:4FGL_J1048.2-5832[aab+22];HE[klm+00],HE[aaa+09i];
584;J1048-5838;1.231305;1.22e-14;*;*;RRAT;
585;J1049+5822;0.727618;3.91e-15;*;*;*;
586;J1049-5833;2.202325;4.41e-15;*;*;*;
587;J1050-5953;6.452077;3.81e-11;*;XRS:1E_1048.1-5937;AXP,NRAD;
588;J1051-6214;1.146050;*;*;*;*;
589;J1052-5954;0.180592;2.00e-14;*;*;*;
590;J1052-6348;0.383830;3.87e-16;*;*;*;
591;J1054-5943;0.346909;4.07e-15;*;*;*;
592;J1054-5946;0.228324;2.09e-16;*;*;*;
593;J1054-6452;1.840004;3.14e-15;*;*;*;
594;J1055-6022;0.947558;9.24e-14;*;*;*;
595;J1055-6028;0.099661;2.95e-14;*;GRS:4FGL_J1055.7-6028[aab+22];HE;
596;J1055-6236;0.448635;7.08e-16;*;*;*;
597;J1055-6905;2.919397;2.03e-14;*;*;*;
598;J1056-5709;0.676082;5.76e-16;*;*;*;
599;B1054-62;0.422451;3.58e-15;*;*;*;
600;J1056-7117;0.026310;6.30e-20;ELL1;*;*;
601;J1057-4754;0.628306;2.25e-16;*;*;*;
602;B1055-52;0.197115;5.84e-15;*;GRS:4FGL_J1057.9-5227[aab+22],XRS:[of93];HE[aaa+10m];
603;J1057-5851;0.620365;1.01e-13;*;GRS:4FGL_J1056.9-5852[aab+22];NRAD[aab+22];
604;B1056-78;1.347404;1.33e-15;*;*;*;
605;J1058-5957;0.616270;6.57e-16;*;*;*;
606;J1059+6459;3.631170;5.74e-15;*;*;*;
607;B1056-57;1.185003;4.31e-15;*;*;*;
608;J1101-6101;0.062800;8.56e-15;*;SNR:G290.1-0.8(MSH_11-61A)[htg+14];NRAD;
609;J1101-6424;0.005109;1.80e-21;ELL1;*;*;
610;J1102+02;0.004050;*;*;GRS:4FGL_J1102.4+0246[aab+22];HE[aab+22];
611;J1103-5403;0.003393;3.68e-21;*;*;*;
612;J1103-6025;0.396587;9.90e-16;*;*;*;
613;J1104-6103;0.280905;1.97e-15;*;*;*;
614;J1105+02;6.403055;1.43e-15;*;*;RRAT[cwp+17];
615;J1105-4353;0.351112;2.50e-15;*;*;*;
616;J1105-6037;0.194938;2.18e-14;*;GRS:4FGL_J1104.9-6037[aab+22],XRS:1XSPS_;NRAD[aab+22];
617;J1105-6107;0.063202;1.58e-14;*;GRS:4FGL_J1105.4-6108[aab+22],XRS:PWN[gk;HE[aab+22];
618;J1106-6438;2.717934;2.33e-15;*;*;*;
619;J1107-5907;0.252773;9.01e-18;*;*;*;
620;B1105-59;1.516531;3.40e-16;*;*;*;
621;J1107-6143;1.799396;1.56e-13;*;*;*;
622;J1108-6329;0.004278;*;?;*;*;
623;J1110+58;0.793350;*;*;*;*;
624;B1107-56;0.558254;2.06e-15;*;*;*;
625;J1111-6039;0.106689;1.96e-13;*;GRS:4FGL_J1111.8-6039[aab+22];NRAD[aab+22];
626;J1112-6103;0.064962;3.15e-14;*;GRS:4FGL_J1112.1-6108[aab+22],XRS:[pb15];HE[aab+22];
627;B1110-65;0.334214;8.25e-16;*;*;*;
628;B1110-69;0.820488;2.82e-15;*;*;*;
629;B1112-60;0.880858;4.60e-14;*;*;*;
630;B1112+50;1.656440;2.49e-15;*;*;*;
631;J1115-0956;1.310894;3.47e-17;*;*;*;
632;J1115-6052;0.259779;7.23e-15;*;*;*;
633;J1116-2444;0.867949;9.85e-16;*;*;*;
634;B1114-41;0.943158;7.95e-15;*;*;*;
635;J1117-6154;0.505097;1.25e-14;*;*;*;
636;J1117-6447;1.155272;2.40e-16;*;*;*;
637;J1119-6127;0.407963;4.02e-12;*;GRS:4FGL_J1119.1-6127[aab+22],SNR:G292.2;HE[gkc+07];
638;B1118-79;2.280597;3.67e-15;*;*;*;
639;J1120-24;0.497000;*;*;*;*;
640;J1120-3618;0.005557;9.26e-22;DDH;*;*;
641;B1119-54;0.535787;2.78e-15;*;*;*;
642;J1122-3546;0.007838;1.52e-20;*;*;*;
643;J1123-4844;0.244838;6.54e-17;*;*;*;
644;J1123-6102;0.640234;6.46e-15;*;*;*;
645;J1123-6259;0.271437;5.25e-15;*;*;*;
646;J1123-6651;0.232976;2.75e-15;*;*;*;
647;J1124-3653;0.002410;6.01e-21;ELL1;GRS:4FGL_J1124.0-3653[aab+22];HE;
648;J1124-5638;0.185560;9.00e-18;*;*;*;
649;J1124-5916;0.135477;7.53e-13;*;GRS:4FGL_J1124.7-5915[aab+22],SNR:G292.0;HE[hsp+03];
650;J1124-6421;0.479099;6.20e-16;*;*;*;
651;J1125+7819;0.004202;6.94e-21;ELL1;*;*;
652;J1125-5825;0.003102;6.09e-20;DD;GRS:4FGL_J1125.6-5825[aab+22];HE;
653;J1125-6014;0.002630;3.73e-21;T2;GRS:4FGL_J1126.4-6011[aab+22];HE[sbc+19];
654;J1126-2737;0.358161;*;*;*;RRAT[kkl+15];
655;J1126-38;0.887550;*;*;*;*;
656;B1124-60;0.202737;2.81e-16;*;*;*;
657;J1126-6942;0.579419;3.29e-15;*;*;*;
658;J1128-6219;0.515984;1.10e-17;*;*;*;
659;J1129-53;1.062880;*;*;*;RRAT;
660;J1130+0921;4.796637;-2.76e-15;*;*;RRAT[cwp+17];
661;J1130-5826;0.162323;1.59e-17;*;*;*;
662;J1130-5925;0.680984;9.52e-16;*;*;*;
663;J1130-6807;0.256353;4.60e-16;*;*;*;
664;J1132+25;1.002000;*;*;*;RRAT(?)[ttm18];
665;J1132-4700;0.325633;7.77e-16;*;*;*;
666;J1132-5627;0.175166;6.80e-17;*;*;*;
667;B1131-62;1.022875;4.52e-16;*;*;*;
668;J1134-6207;0.688961;*;*;*;*;
669;J1135-49;*;*;*;*;RRAT;
670;J1135-6055;0.114943;7.93e-14;*;GRS:4FGL_J1135.2-6055[aab+22];NRAD[aab+22];
671;B1133+16;1.187913;3.73e-15;*;XRS:[kpg06a];*;
672;B1133-55;0.364713;8.23e-15;*;*;*;
673;J1136-6527;1.189309;1.75e-15;*;*;*;
674;J1137+7528;0.002513;3.24e-21;ELL1;GRS:4FGL_J1137.6+7527[aab+22];HE;
675;J1137-6700;0.556216;7.17e-17;*;*;*;
676;J1138-6154;0.624372;*;*;*;*;
677;J1138-6207;0.117564;1.25e-14;*;*;*;
678;J1139-6247;0.120482;4.05e-15;*;GRS:4FGL_J1139.2-6247[aab+22];NRAD[nie+20];
679;J1141-3107;0.538432;1.96e-15;*;*;*;
680;J1141-3322;0.291468;4.65e-16;*;*;*;
681;J1141-6545;0.393899;4.31e-15;DD;OPT:[abw+11];*;
682;J1142+0119;0.005075;1.50e-20;ELL1;GRS:4FGL_J1142.8+0120[aab+22];HE;
683;J1142-6230;0.558383;7.79e-17;*;*;*;
684;J1143-5158;0.675646;6.95e-16;*;*;*;
685;J1143-5536;0.685358;4.85e-16;*;*;*;
686;J1144-6146;0.987783;-3.81e-17;*;*;*;
687;J1144-6217;0.850665;3.08e-14;*;*;*;
688;B1143-60;0.273375;1.79e-15;*;*;*;
689;J1146-6610;0.003722;7.93e-21;ELL1;*;*;
690;J1148-5725;3.559937;1.11e-14;*;*;*;
691;J1148-6415;3.241029;2.70e-15;*;*;*;
692;J1148-6546;1.496743;*;*;*;*;
693;J1151-6108;0.101633;1.03e-14;*;GRS:4FGL_J1152.0-6107[aab+22];HE[ncb+15],HE[aab+22];
694;J1152-5800;1.789829;1.28e-15;*;*;*;
695;J1152-6012;0.376570;6.69e-15;*;*;*;
696;J1152-6056;2.449000;*;*;*;RRAT(?)[bbc+22];
697;J1153-2117;2.343480;*;*;*;RRAT[kkl+15];
698;J1154-19;0.011100;*;*;*;*;
699;J1154-6250;0.282012;5.59e-16;*;*;*;
700;J1155-6529;0.078870;*;?;*;*;
701;J1156-1318;*;*;*;*;RRAT[mss+20];
702;J1156-5707;0.288417;2.65e-14;*;*;*;
703;J1156-5909;1.037931;1.02e-15;*;*;*;
704;J1157-5112;0.043589;1.43e-19;ELL1;*;*;
705;B1154-62;0.400526;3.93e-15;*;*;*;
706;J1159-6409;0.667486;2.40e-17;*;*;*;
707;J1159-7910;0.525074;2.82e-15;*;*;*;
708;J1201-6306;0.592136;3.56e-15;*;*;*;
709;B1159-58;0.452803;2.13e-15;*;*;*;
710;J1203-6242;0.100604;4.41e-14;*;GRS:4FGL_J1203.9-6242[aab+22];NRAD[nie+20];
711;J1204-6843;0.308861;2.17e-16;*;*;*;
712;J1207-4508;1.769828;1.56e-15;*;*;*;
713;J1207-5050;0.004843;6.06e-21;*;GRS:4FGL_J1207.4-5050[brj+21];HE[brj+21];
714;J1208-5936;0.028714;2.97e-20;DDH;*;*;
715;J1208-6238;0.440591;3.27e-12;*;GRS:4FGL_J1208.2-6237[aab+22];NRAD[aab+22];
716;J1210-5226;0.424131;2.22e-17;*;SNR:G296.5+10.0[aaa+16d],XRS:1E_1207.4-5;NRAD;
717;J1210-5559;0.279768;7.25e-16;*;*;*;
718;J1210-6322;1.163186;9.25e-15;*;*;*;
719;J1210-6550;4.237010;4.31e-16;*;*;*;
720;J1211-6324;0.433084;2.57e-16;*;*;*;
721;J1212-5838;0.073802;*;*;*;*;
722;J1214-5830;0.909823;5.34e-17;*;*;*;
723;J1215-5328;0.636414;1.15e-16;*;*;*;
724;J1216-50;6.355000;*;*;*;RRAT;
725;J1216-6223;0.374053;1.68e-14;*;*;*;
726;J1216-6410;0.003539;1.62e-21;ELL1;*;*;
727;J1220-6318;0.789212;8.03e-17;*;*;*;
728;J1221-0633;0.001935;5.27e-21;ELL1;GRS:4FGL_J1221.4-0634[aab+22];HE[aab+22];
729;J1222-5738;1.081164;1.50e-16;*;*;*;
730;J1223-5856;0.288541;5.70e-18;*;*;*;
731;J1224-6208;0.585761;2.02e-14;*;*;*;
732;B1221-63;0.216480;4.95e-15;*;XRS:[pb15];HE[lsg+15];
733;J1225-5556;1.018453;2.06e-15;*;*;*;
734;J1225-6035;0.626324;2.88e-16;*;*;*;
735;B1222-63;0.419618;9.46e-16;*;*;*;
736;J1226+0005;2.285076;2.47e-15;*;*;*;
737;J1226-3223;6.193004;7.05e-15;*;*;RRAT;
738;J1227-4853;0.001686;1.11e-20;ELL1;GRS:4FGL_J1228.0-4853[aab+22],XRS:XSS_J1;HE[pdb+15],HE[jrr+15];
739;J1227-6208;0.034528;1.87e-19;ELL1H;*;*;
740;J1227-63;0.444578;*;*;*;*;
741;J1231-1411;0.003684;2.26e-20;T2;GRS:4FGL_J1231.1-1412[aab+22];HE;
742;J1231-4609;0.877239;3.80e-17;*;*;*;
743;J1231-5113;0.206612;1.17e-16;*;GRS:4FGL_J1231.6-5116[aab+22];NRAD[nie+20];
744;J1231-5929;0.409834;*;*;*;*;
745;J1231-6303;1.351236;1.32e-16;*;*;*;
746;J1231-6511;0.247525;2.84e-14;*;GRS:4FGL_J1231.6-6511[aab+22];NRAD[nie+20];
747;J1232-4742;1.872994;1.40e-17;*;*;*;
748;J1232-5843;0.285318;*;*;*;*;
749;J1232-6501;0.088282;8.11e-19;ELL1;*;*;
750;J1233-6312;0.564759;6.92e-15;*;*;*;
751;J1233-6344;0.756892;3.88e-15;*;*;*;
752;J1234-3630;0.569242;8.66e-16;*;*;*;
753;B1232-55;0.638234;*;*;*;*;
754;J1235-6354;0.256778;1.97e-16;*;*;*;
755;J1236-0159;3.597574;5.10e-15;*;*;*;
756;J1236-5033;0.294760;1.56e-16;*;*;*;
757;J1236-65;0.100565;*;*;*;*;
758;J1237-6725;2.110974;2.19e-15;*;*;*;
759;J1238+2152;1.118591;1.45e-15;*;*;*;
760;J1239+0326;0.858327;4.36e-16;*;*;*;
761;B1237+25;1.382449;9.60e-16;*;*;*;
762;J1239+32;0.004700;*;*;*;*;
763;J1239+3239;0.004701;3.87e-21;*;*;*;
764;J1239-48;0.653900;*;*;*;*;
765;B1236-68;1.301923;1.19e-14;*;*;*;
766;B1237-41;0.512242;1.74e-15;*;*;*;
767;J1242+39;1.310000;*;*;*;*;
768;J1243+17;1.216500;*;*;*;*;
769;J1243-5735;0.471225;8.00e-17;*;*;*;
770;B1240-64;0.388485;4.49e-15;*;*;*;
771;J1244-1812;3.425324;1.48e-15;*;*;*;
772;J1244-5053;0.275207;1.00e-15;*;*;*;
773;J1244-6359;0.147274;4.40e-18;DD;*;*;
774;J1244-6437;0.212905;*;*;*;*;
775;J1244-6531;1.546819;7.18e-15;*;*;*;
776;J1245-6238;2.283093;1.09e-14;*;*;*;
777;J1246+2253;0.473871;8.89e-17;*;*;*;
778;J1248-6344;0.198335;1.69e-14;*;*;*;
779;J1248-6444;1.234893;1.93e-15;*;*;*;
780;J1249-6507;0.434445;1.21e-17;*;*;*;
781;J1251-7407;0.327058;3.65e-16;*;*;*;
782;J1252+53;0.220104;*;*;*;RRAT[gac+21];
783;J1252-6314;0.823339;1.08e-16;*;*;*;
784;J1253-5820;0.255496;2.10e-15;*;GRS:4FGL_J1253.3-5816[aab+22];HE[mld+96],HE[aab+22];
785;J1254-6150;0.184502;6.24e-16;*;*;*;
786;J1255-46;0.052000;*;*;*;*;
787;J1255-6131;0.657974;4.00e-15;*;*;*;
788;J1255-62;0.182912;*;*;*;*;
789;B1254-10;0.617308;3.63e-16;*;*;*;
790;B1256-67;0.663330;8.55e-16;*;*;*;
791;B1257+12;0.006219;1.14e-19;BT2P;XRS:[pkgw07];*;
792;J1300-6602;1.143316;3.35e-16;*;*;*;
793;J1301+0833;0.001844;1.06e-20;ELL1;GRS:4FGL_J1301.6+0834[aab+22],OPT:[lht14;HE;
794;J1301-6305;0.184528;2.67e-13;*;*;*;
795;J1301-6310;0.663830;5.64e-14;*;XRS:[pb15];*;
796;J1302-3258;0.003771;6.54e-21;ELL1;GRS:4FGL_J1302.4-3258[aab+22];HE[hrm+11],HE[aab+22];
797;J1302-63;0.325724;*;*;*;*;
798;J1302-6313;0.967846;6.33e-15;*;*;*;
799;B1259-63;0.047763;2.28e-15;MSS;*;*;
800;J1303+38;0.396300;*;*;*;*;
801;J1303-62;0.419416;*;*;*;*;
802;J1303-6305;2.306642;2.18e-15;*;*;*;
803;J1304+12;0.004180;*;*;GRS:4FGL_J1304.4+1203[aab+22];NRAD[aab+22];
804;J1305-6203;0.427774;3.22e-14;*;*;*;
805;J1305-6256;0.478231;2.11e-15;*;*;*;
806;B1302-64;0.571652;4.03e-15;*;*;*;
807;J1305-66;0.197276;*;*;*;*;
808;J1306-4035;0.002205;*;BT;GRS:4FGL_J1306.8-4035[aab+22],OPT:SSS_J1;HE[aab+22];
809;J1306-6043;0.005671;*;?;*;*;
810;J1306-6242;0.981902;5.86e-15;*;*;*;
811;B1303-66;0.473028;5.98e-15;*;*;*;
812;J1307-6318;4.962427;2.11e-14;*;*;*;
813;J1307-67;3.651200;*;*;*;RRAT;
814;J1308+2127;10.312522;1.12e-13;*;XRS:RX_J1308.6+2127,OPT:[kkvh11];XINS,NRAD;
815;J1308-23;0.002830;*;*;*;*;
816;J1308-4650;1.058833;5.26e-16;*;*;*;
817;J1308-5844;0.464700;8.64e-15;*;*;*;
818;J1309-6415;0.619454;8.79e-15;*;*;*;
819;J1309-6526;0.398292;1.84e-17;*;*;*;
820;B1309-12;0.447518;1.51e-16;*;*;*;
821;J1311-3430;0.002560;2.10e-20;ELL1;GRS:4FGL_J1311.7-3430[aab+22],OPT:[rom12;HE;
822;J1312+0051;0.004228;1.75e-20;DD;GRS:4FGL_J1312.7+0050[aab+22];HE;
823;B1310+18;0.033163;*;BT;GC:M53(NGC5024);*;
824;J1312+1810B;0.006242;-1.75e-20;DD;GC:M53(NGC5024)[pqm+21];*;
825;J1312+1810C;0.012535;5.26e-20;*;GC:M53(NGC5024)[pqm+21];*;
826;J1312+1810D;0.006070;2.26e-20;ELL1;GC:M53(NGC5024)[pqm+21];*;
827;J1312+1810E;0.003972;-7.57e-21;ELL1;GC:M53(NGC5024)[lpz+23];*;
828;B1309-53;0.728154;1.47e-16;*;*;*;
829;B1309-55;0.849243;5.70e-15;*;*;*;
830;J1312-6400;2.437432;6.83e-16;*;*;*;
831;J1313+0931;0.848933;8.00e-16;*;*;*;
832;J1314-6101;2.948390;1.17e-14;*;*;*;
833;J1316-6147;1.932600;*;*;*;*;
834;J1316-6232;0.342825;5.30e-15;*;*;*;
