#;NAME;P0;P1;BINARY;ASSOC;PSR;
;;(s);;(type);;TYPE;
427;J1020-5921;1.238305;4.05e-14;*;*;*;
428;J1020-6026;0.140480;6.74e-15;*;*;*;
429;J1021-5601;0.670026;5.34e-17;*;*;*;
430;J1022+1001;0.016453;4.33e-20;DD;*;*;
431;J1022-5813;1.643726;1.45e-13;*;*;*;
432;J1023+0038;0.001688;6.93e-21;ELL1;OPT:AY_Sex[asr+09],XRS:[akb+10];HE[jah+16,aps+17];
433;J1023-5746;0.111472;3.84e-13;*;GRS:2FGL_J1022.7-5741[naa+12],GRS:HESS_J;NRAD;
434;J1024-0719;0.005162;1.86e-20;*;OPT:2MASS_10243869-0719190[kkn+16];HE[egc+13];
435;J1028-5819;0.091403;1.61e-14;*;GRS:2FGL_J1028.5-5819[naa+12];HE[aaa+09];
436;J1031-6117;0.306411;1.78e-15;*;*;*;
437;J1032-5206;2.407622;1.79e-14;*;*;*;
438;B1030-58;0.464208;3.00e-15;*;*;*;
439;J1034-3224;1.150590;2.30e-16;*;*;*;
440;J1035-6345;0.579577;3.50e-16;*;*;*;
441;J1035-6720;0.002872;4.65e-20;*;GRS:3FGL_J1035.7-6720[aaa+15];HE[cpw+18];
442;J1036-4926;0.510368;1.65e-15;*;*;*;
443;J1036-6559;0.533502;1.36e-15;*;*;*;
444;J1036-8317;0.003408;*;BT;GRS:3FGL_J1036.0-8317[aaa+15];HE[ckr+15];
445;J1038+0032;0.028852;6.70e-20;*;*;*;
446;B1036-58;0.661992;1.25e-15;*;*;*;
447;B1039-19;1.386368;9.45e-16;*;*;*;
448;B1039-55;1.170859;6.73e-15;*;*;*;
449;J1043-6116;0.288602;1.04e-14;*;*;*;
450;J1044-5737;0.139029;5.46e-14;*;GRS:2FGL_J1044.5-5737[naa+12],GRS:1AGL_J;NRAD;
451;J1045-4509;0.007474;1.77e-20;ELL1;*;*;
452;J1046+0304;0.326271;1.24e-16;*;*;*;
453;B1044-57;0.369427;1.14e-15;*;*;*;
454;J1047-3032;0.330328;6.10e-17;*;*;*;
455;J1047-6709;0.198451;1.69e-15;*;*;*;
456;J1048+2339;0.004665;3.00e-20;ELL1;GRS:3FGL_J1048.6+2338(?)[cck+16],OPT:CSS;HE;
457;B1046-58;0.123671;9.63e-14;*;GRS:2FGL_J1048.2-5831[naa+12];HE[klm+00,aaa+09i];
458;J1048-5838;1.231305;1.22e-14;*;*;RRAT;
459;J1049-5833;2.202325;4.41e-15;*;*;*;
460;J1050-5953;6.452077;3.81e-11;*;XRS:1E_1048.1-5937;AXP,NRAD;
461;J1052-5954;0.180592;2.00e-14;*;*;*;
462;J1052-6348;0.383830;3.87e-16;*;*;*;
463;J1054-5943;0.346909;4.07e-15;*;*;*;
464;J1054-5946;0.228324;2.09e-16;*;*;*;
465;J1054-6452;1.840004;3.14e-15;*;*;*;
466;J1055-6022;0.947558;9.24e-14;*;*;*;
467;J1055-6028;0.099661;2.95e-14;*;GRS:[hsg+14];HE;
468;J1055-6236;0.448635;7.08e-16;*;*;*;
469;J1055-6905;2.919397;2.03e-14;*;*;*;
470;J1056-5709;0.676082;5.76e-16;*;*;*;
471;B1054-62;0.422447;3.58e-15;*;*;*;
472;J1056-7117;0.026310;6.30e-20;ELL1;*;*;
473;J1057-4754;0.628306;2.25e-16;*;*;*;
474;B1055-52;0.197108;5.83e-15;*;XRS:[of93],GRS:2FGL_J1057.9-5226[naa+12];HE[aaa+10m];
475;J1057-5851;0.620365;1.01e-13;*;GRS:3FGL_J1056.7-5853[aaa+15];NRAD;
476;B1056-78;1.347402;1.33e-15;*;*;*;
477;J1058-5957;0.616270;6.57e-16;*;*;*;
478;B1056-57;1.184999;4.30e-15;*;*;*;
479;J1059+6459;3.631170;5.74e-15;*;*;*;
480;J1101-6101;0.062800;8.56e-15;*;SNR:G290.1-0.8(MSH_11-61A)[htg+14];NRAD;
481;J1101-6424;0.005109;1.80e-21;ELL1;*;*;
482;J1103-5403;0.003393;3.68e-21;*;GRS:2FGL_J1103.9-5356[naa+12];HE[kjr+11];
483;J1103-6025;0.396587;9.90e-16;*;*;*;
484;J1104-6103;0.280905;1.97e-15;*;*;*;
485;J1105-43;0.351100;*;*;*;*;
486;J1105-6037;0.194938;2.18e-14;*;GRS:3FGL_J1104.9-6036[aaa+15],XRS:1XSPS_;NRAD;
487;J1105-6107;0.063193;1.58e-14;*;XRS:PWN[gk98];*;
488;J1106-6438;2.717934;2.33e-15;*;*;*;
489;J1107-5907;0.252773;9.01e-18;*;*;*;
490;B1105-59;1.516531;3.40e-16;*;*;*;
491;J1107-6143;1.799396;1.56e-13;*;*;*;
492;B1107-56;0.558253;2.06e-15;*;*;*;
493;J1110+58;0.793348;*;*;*;*;
494;J1112-6103;0.064962;3.15e-14;*;XRS:[pb15];*;
495;B1110-65;0.334213;8.24e-16;*;*;*;
496;B1110-69;0.820484;2.84e-15;*;*;*;
497;B1112-60;0.880820;4.61e-14;*;*;*;
498;B1112+50;1.656440;2.49e-15;*;*;*;
499;J1115-6052;0.259777;7.23e-15;*;*;*;
500;J1116-2444;0.867949;9.85e-16;*;*;*;
501;B1114-41;0.943158;7.95e-15;*;*;*;
502;J1117-6154;0.505097;1.25e-14;*;*;*;
503;J1117-6447;1.155272;2.40e-16;*;*;*;
504;J1119-6127;0.407963;4.02e-12;*;SNR:G292.2-0.5[cgk+01];HE[gkc+07];
505;B1118-79;2.280597;3.67e-15;*;*;*;
506;J1120-3618;0.005550;*;*;*;*;
507;B1119-54;0.535783;2.77e-15;*;*;*;
508;J1123-4844;0.244838;6.54e-17;*;*;*;
509;J1123-6102;0.640234;6.46e-15;*;*;*;
510;J1123-6259;0.271434;5.25e-15;*;*;*;
511;J1123-6651;0.232976;2.75e-15;*;*;*;
512;J1124-3653;0.002410;*;*;GRS:2FGL_J1124.2-3654[naa+12];HE;
513;J1124-5638;0.185560;9.00e-18;*;*;*;
514;J1124-5916;0.135477;7.53e-13;*;SNR:G292.0+1.8,GRS:2FGL_J1124.6-5913[naa;HE[hsp+03];
515;J1124-6421;0.479099;6.20e-16;*;*;*;
516;J1125-5825;0.003102;6.09e-20;DD;GRS:2FGL_J1125.0-5821[kjb+12];HE;
517;J1125-6014;0.002630;4.01e-21;ELL1;*;*;
518;J1125+7819;0.004202;6.96e-21;ELL1;*;*;
519;J1126-27;0.358161;*;*;*;RRAT;
520;J1126-38;0.887550;*;*;*;*;
521;B1124-60;0.202737;2.81e-16;*;*;*;
522;J1126-6942;0.579416;3.30e-15;*;*;*;
523;J1128-6219;0.515984;1.10e-17;*;*;*;
524;J1129-53;1.062880;*;*;*;RRAT;
525;J1130-5826;0.162323;1.59e-17;*;*;*;
526;J1130-5925;0.680984;9.52e-16;*;*;*;
527;J1130-6807;0.256353;4.60e-16;*;*;*;
528;J1132-46;0.325400;*;*;*;*;
529;J1132-5627;0.175166;6.80e-17;*;*;*;
530;B1131-62;1.022875;4.52e-16;*;*;*;
531;J1135-49;*;*;*;*;RRAT;
532;J1135-6055;0.114943;7.93e-14;*;GRS:3FGL_J1135.2-6054[aaa+15];NRAD;
533;B1133+16;1.187913;3.73e-15;*;XRS:[kpg06a];*;
534;B1133-55;0.364706;8.22e-15;*;*;*;
535;J1137-6700;0.556216;7.17e-17;*;*;*;
536;J1137+7528;0.002513;3.24e-21;ELL1;GRS:3FGL_J1136.1+7523[san16];HE;
537;J1138-6207;0.117564;1.25e-14;*;*;*;
538;J1141-3107;0.538432;1.96e-15;*;*;*;
539;J1141-3322;0.291468;4.63e-16;*;*;*;
540;J1141-6545;0.393899;4.31e-15;DD;OPT:[abw+11];*;
541;J1142+0119;0.005075;1.50e-20;ELL1;GRS:3FGL_J1142.9+0120[san16];HE;
542;J1142-6230;0.558383;7.79e-17;*;*;*;
543;J1143-5158;0.675646;6.95e-16;*;*;*;
544;J1143-5536;0.685358;4.85e-16;*;*;*;
545;J1144-6146;0.987783;-3.81e-17;*;*;*;
546;J1144-6217;0.850665;3.08e-14;*;*;*;
547;B1143-60;0.273372;1.79e-15;*;*;*;
548;J1147-66;0.003720;*;*;*;*;
549;J1148-5725;3.559937;1.11e-14;*;*;*;
550;J1148-6415;3.241029;2.70e-15;*;*;*;
551;J1151-6108;0.101633;1.03e-14;*;*;*;
552;J1152-5800;1.789829;1.28e-15;*;*;*;
553;J1152-6012;0.376570;6.69e-15;*;*;*;
554;J1153-21;2.343480;*;*;*;RRAT;
555;J1154-6250;0.282012;5.59e-16;*;*;*;
556;J1156-5707;0.288409;2.65e-14;*;*;*;
557;J1156-5909;1.037931;1.02e-15;*;*;*;
558;J1157-5112;0.043589;1.43e-19;ELL1;*;*;
559;B1154-62;0.400522;3.93e-15;*;*;*;
560;J1159-6409;0.667486;2.40e-17;*;*;*;
561;J1159-7910;0.525074;2.82e-15;*;*;*;
562;J1201-6306;0.592136;3.56e-15;*;*;*;
563;B1159-58;0.452801;2.13e-15;*;*;*;
564;J1204-6843;0.308861;2.17e-16;*;*;*;
565;J1207-5050;0.004840;*;*;GRS:2FGL_J1207.3-5055[naa+12];HE;
566;J1208-6238;0.440591;3.27e-12;*;GRS:3FGL_J1208.4-6239[aaa+15];NRAD;
567;J1210-5226;0.424131;2.22e-17;*;SNR:G296.5+10.0,XRS:1E_1207.4-5209;NRAD;
568;J1210-5559;0.279767;7.26e-16;*;*;*;
569;J1210-6550;4.237010;4.31e-16;*;*;*;
570;J1211-6324;0.433084;2.57e-16;*;*;*;
571;J1214-5830;0.909823;5.34e-17;*;*;*;
572;J1215-5328;0.636414;1.15e-16;*;*;*;
573;J1216-50;6.355000;*;*;*;RRAT;
574;J1216-6223;0.374047;1.68e-14;*;*;*;
575;J1216-6410;0.003539;1.62e-21;ELL1;*;*;
576;J1220-6318;0.789212;8.03e-17;*;*;*;
577;J1222-5738;1.081164;1.50e-16;*;*;*;
578;J1224-6208;0.585761;2.02e-14;*;*;*;
579;B1221-63;0.216476;4.95e-15;*;XRS:[pb15];HE[lsg+15];
580;J1225-5556;1.018453;2.06e-15;*;*;*;
581;J1225-6035;0.626324;2.88e-16;*;*;*;
582;B1222-63;0.419618;9.46e-16;*;*;*;
583;J1226-3223;6.193004;7.05e-15;*;*;RRAT;
584;J1227-4853;0.001686;1.11e-20;ELL1;XRS:XSS_J12270-4859[rbr14],GRS:2FGL_J122;HE[pdb+15,jrr+15];
585;J1227-6208;0.034528;1.87e-19;ELL1H;*;*;
586;J1227-63;0.444578;*;*;*;*;
587;J1231-1411;0.003684;2.28e-20;BT;GRS:2FGL_J1231.2-1411[naa+12];HE;
588;J1231-4609;0.877239;3.80e-17;*;*;*;
589;J1231-6303;1.351236;1.40e-15;*;*;*;
590;J1232-4742;1.872994;1.40e-17;*;*;*;
591;J1232-6501;0.088282;8.11e-19;ELL1;*;*;
592;J1233-6312;0.564759;6.92e-15;*;*;*;
593;J1233-6344;0.756892;3.88e-15;*;*;*;
594;J1234-3630;0.569242;8.66e-16;*;*;*;
595;B1232-55;0.638234;*;*;*;*;
596;J1235-6354;0.256778;1.97e-16;*;*;*;
597;J1236-5033;0.294760;1.56e-16;*;*;*;
598;J1237-6725;2.110974;2.19e-15;*;*;*;
599;J1238+2152;1.118591;1.45e-15;*;*;*;
600;B1237+25;1.382449;9.60e-16;*;*;*;
601;B1236-68;1.301908;1.19e-14;*;*;*;
602;B1237-41;0.512242;1.74e-15;*;*;*;
603;J1242+39;1.310000;*;*;*;*;
604;J1243-5735;0.471225;8.00e-17;*;*;*;
605;B1240-64;0.388481;4.50e-15;*;*;*;
606;J1244-5053;0.275207;1.00e-15;*;*;*;
607;J1244-6359;0.147274;4.40e-18;DD;*;*;
608;J1244-6531;1.546819;7.18e-15;*;*;*;
609;J1245-6238;2.283093;1.09e-14;*;*;*;
610;J1246+2253;0.473871;8.89e-17;*;*;*;
611;J1248-6344;0.198335;1.69e-14;*;*;*;
612;J1248-6444;1.234893;1.93e-15;*;*;*;
613;J1249-6507;0.434445;1.21e-17;*;*;*;
614;J1251-7407;0.327058;3.65e-16;*;*;*;
615;J1252-6314;0.823339;1.08e-16;*;*;*;
616;J1253-5820;0.255496;2.10e-15;*;*;*;
617;J1254-6150;0.184502;6.24e-16;*;*;*;
618;J1255-46;0.052000;*;*;*;*;
619;J1255-6131;0.657974;4.00e-15;*;*;*;
620;J1255-62;0.182912;*;*;*;*;
621;B1254-10;0.617308;3.63e-16;*;*;*;
622;B1256-67;0.663329;1.21e-15;*;*;*;
623;B1257+12;0.006219;1.14e-19;BT2P;XRS:[pkgw07];*;
624;J1301+0833;0.001840;*;BT;GRS:2FGL_J1301.5+0835[naa+12],OPT:[lht14;HE;
625;J1301-6305;0.184528;2.67e-13;*;*;*;
626;J1301-6310;0.663830;5.64e-14;*;XRS:[pb15];*;
627;J1302-32;0.003770;*;*;GRS:2FGL_J1302.4-3257[naa+12];HE;
628;J1302-63;0.325724;*;*;*;*;
629;J1302-6313;0.967846;6.33e-15;*;*;*;
630;B1259-63;0.047763;2.28e-15;MSS;*;*;
631;J1303-6305;2.306642;2.18e-15;*;*;*;
632;J1305-6203;0.427762;3.21e-14;*;*;*;
633;J1305-6256;0.478231;2.11e-15;*;*;*;
634;B1302-64;0.571647;4.03e-15;*;*;*;
635;J1305-66;0.197276;*;*;*;*;
636;J1306-4035;0.002205;*;BT;OPT:SSS_J130656.3-403522[lin18],XRS:3XMM;*;
637;J1306-6242;0.981902;5.86e-15;*;*;*;
638;B1303-66;0.473026;5.97e-15;*;*;*;
639;J1307-6318;4.962427;2.11e-14;*;*;*;
640;J1307-67;3.651200;*;*;*;RRAT;
641;J1308+2127;10.312522;1.12e-13;*;XRS:RX_J1308.6+2127,OPT:[kkvh11];XINS,NRAD;
642;J1308-4650;1.058833;5.26e-16;*;*;*;
643;J1308-5844;0.464700;8.64e-15;*;*;*;
644;J1309-6415;0.619454;8.79e-15;*;*;*;
645;J1309-6526;0.398292;1.84e-17;*;*;*;
646;B1309-12;0.447518;1.51e-16;*;*;*;
647;J1311-3430;0.002560;2.10e-20;ELL1;GRS:2FGL_J1311.7-3429,OPT:[rom12];HE;
648;J1312+0051;0.004228;1.75e-20;DD;GRS:3FGL_J1311.0+0036[san16];HE;
649;B1310+18;0.033163;*;BT;GC:M53;*;
650;B1309-53;0.728154;1.48e-16;*;*;*;
651;B1309-55;0.849236;5.71e-15;*;*;*;
652;J1312-6400;2.437432;6.83e-16;*;*;*;
653;J1313+0931;0.848933;8.00e-16;*;*;*;
654;J1314-6101;2.948390;1.17e-14;*;*;*;
655;J1316-6232;0.342825;5.30e-15;*;*;*;
656;J1317-5759;2.642199;1.26e-14;*;*;RRAT;
657;J1317-6302;0.261271;1.02e-16;*;*;*;
658;B1316-60;0.284351;1.53e-15;*;*;*;
659;J1319-6105;0.421118;1.50e-15;*;*;*;
660;J1320-3512;0.458488;1.90e-18;*;*;*;
661;B1317-53;0.279729;9.25e-15;*;*;*;
662;J1320+67;1.028620;*;*;*;*;
663;J1321-5922;1.279058;2.37e-15;*;*;*;
664;B1322+83;0.670037;5.66e-16;*;*;*;
665;J1322-62;1.044851;*;*;*;*;
666;J1322-6241;0.506058;2.59e-15;*;*;*;
667;J1322-6329;2.764209;1.11e-14;*;*;*;
668;J1324-6146;0.844109;5.58e-15;*;*;*;
669;J1324-6302;2.483804;9.79e-16;*;*;*;
670;B1323-58;0.477991;3.24e-15;*;*;*;
671;B1323-63;0.792670;3.10e-15;*;*;*;
672;B1322-66;0.543009;5.31e-15;*;*;*;
673;J1327-0755;0.002678;1.77e-21;ELL1;*;*;
674;B1323-62;0.529913;1.89e-14;*;*;*;
675;B1323-627;0.196479;1.53e-15;*;*;*;
676;J1327-6400;0.280678;3.12e-14;*;*;*;
677;B1325-43;0.532699;3.01e-15;*;*;*;
678;B1325-49;1.478721;6.10e-16;*;*;*;
679;J1329+13;*;*;*;*;RRAT(?)[ttm+18];
680;J1329-6158;1.565218;3.39e-14;*;*;*;
681;J1331-5245;0.648117;5.10e-16;*;*;*;
682;J1332-03;1.106400;*;*;*;RRAT;
683;J1332-3032;0.650434;5.60e-16;*;*;*;
684;J1333-4449;0.345603;5.40e-19;*;*;*;
685;J1334-5839;0.107718;2.16e-17;*;*;*;
686;J1335-3642;0.399192;*;*;*;*;
687;J1336-2522;0.478145;3.31e-16;*;*;*;
688;J1336+33;*;*;*;*;RRAT(?)[ttm+18];
689;J1337-44;1.257520;*;*;*;*;
690;J1337-6306;0.207953;3.56e-16;*;*;*;
691;J1337-6423;0.009423;2.47e-20;ELL1;*;*;
692;B1334-61;1.238990;1.39e-14;*;*;*;
693;J1339-4712;0.137055;5.30e-19;*;*;*;
694;J1339-6618;0.558179;3.50e-16;*;*;*;
695;B1336-64;0.378622;5.05e-15;*;*;*;
696;J1341-6023;0.627285;1.95e-14;*;*;*;
697;B1338-62;0.193340;2.53e-13;*;SNR:G308.8-0.1[cks+92],XRS:[pb15];*;
698;J1342+2822A;0.002545;*;*;GC:M3;*;
699;J1342+2822B;0.002389;1.86e-20;ELL1;GC:M3;*;
700;J1342+2822C;0.002166;*;*;GC:M3;*;
701;J1342+2822D;0.005443;*;DD;GC:M3;*;
702;J1344-6059;0.540102;4.30e-17;*;*;*;
703;J1345-6115;1.253085;3.25e-15;*;*;*;
704;J1346-4918;0.299625;3.50e-17;*;*;*;
705;J1347-5947;0.609962;1.42e-14;*;*;*;
706;J1348-6307;0.927772;3.79e-15;*;*;*;
707;J1349-6130;0.259363;5.13e-15;*;*;*;
708;J1349-63;0.373034;*;*;*;*;
709;J1350-5115;0.295699;7.53e-16;*;*;*;
710;J1350-6225;0.138158;8.88e-15;*;GRS:3FGL_J1350.4-6224[aaa+15];NRAD;
711;J1352-6803;0.628903;1.23e-15;*;*;*;
712;J1354-6249;2.951938;1.48e-14;*;*;*;
713;B1352-51;0.644301;2.81e-15;*;*;*;
714;J1355-5747;2.038674;7.15e-16;*;*;*;
715;J1355-5925;1.213381;5.99e-15;*;*;*;
716;J1355-6206;0.276603;3.10e-18;*;*;*;
717;J1356-5521;0.507380;7.24e-16;*;*;*;
718;B1353-62;0.455761;*;*;*;*;
719;J1357-6429;0.166108;3.60e-13;*;XRS:PWN[zav07];HE[lzg+11];
720;J1358-2533;0.912971;*;*;*;*;
721;B1356-60;0.127501;6.34e-15;*;*;*;
722;J1400-1431;0.003084;7.23e-21;ELL1;OPT:[skm+17],XRS:[skm+17],GRS:3FGL_J1400;*;
723;J1400-6325;0.031182;3.89e-14;*;GRS:IGR_J14003-6326,SNR:G310.6-1.6;HE;
724;B1358-63;0.842790;1.67e-14;*;*;*;
725;B1359-51;1.380177;*;*;*;*;
726;J1403-0314;0.362634;*;*;*;*;
727;J1403-6310;0.399170;9.00e-17;*;*;*;
728;J1403-7646;1.306198;1.20e-15;*;*;*;
729;J1404+1159;2.650439;1.37e-15;*;*;*;
730;J1405-42;2.346800;*;*;*;*;
731;J1405-4656;0.007602;2.79e-20;ELL1;*;*;
732;J1405-5641;0.617575;1.20e-15;*;*;*;
733;J1406-5806;0.288349;6.11e-16;*;*;*;
734;J1406-6121;0.213075;5.47e-14;*;*;*;
735;J1407-6048;0.492344;3.16e-15;*;*;*;
736;J1407-6153;0.701615;8.85e-15;*;*;*;
737;J1409-6953;0.528591;8.40e-16;*;*;*;
738;J1410-6132;0.050052;3.20e-14;*;*;*;
739;J1410-7404;0.278729;6.74e-18;*;*;*;
740;J1411+2551;0.062453;9.56e-20;DD;*;*;
741;J1412-6111;0.529156;1.91e-15;*;*;*;
742;J1412-6145;0.315225;9.87e-14;*;*;*;
743;J1412+7922;0.059198;4.00e-19;*;XRS:1RXS_J141256.0+792204(Calvera),GRS:;NRAD;
744;J1413-6141;0.285625;3.33e-13;*;*;*;
745;J1413-6205;0.109741;2.77e-14;*;GRS:2FGL_J1413.4-6204[naa+12],GRS:1AGL_J;NRAD;
746;J1413-6222;0.292408;2.23e-15;*;*;*;
747;B1409-62;0.394946;7.43e-15;*;*;*;
748;J1414-6802;4.630188;6.39e-15;*;*;*;
749;J1415-6621;0.392479;5.80e-16;*;*;*;
750;J1416-5033;0.794883;1.20e-16;*;*;*;
751;J1416-6037;0.295580;4.28e-15;*;*;*;
752;J1417-4402;0.002664;*;ELL1;GRS:3FGL_J1417.5-4402[aaa+15],XRS:[scc+1;HE;
753;J1418-3921;1.096806;8.89e-16;*;*;*;
754;J1418-5945;1.672596;2.71e-16;*;*;*;
755;J1418-6058;0.110573;1.69e-13;*;GRS:2FGL_J1418.7-6058[naa+12],GRS:HESS_J;NRAD;
756;B1417-54;0.935772;2.37e-16;*;*;*;
757;J1420-5625;0.034117;6.75e-20;BT;*;*;
758;J1420-6048;0.068180;8.32e-14;*;GRS:2FGL_J1420.1-6047[naa+12],GRS:HESS_J;HE[rrj01,waa+10];
759;J1421-4409;0.006386;1.27e-20;ELL1;*;*;
760;J1422-6138;0.340968;9.68e-14;*;GRS:3FGL_J1135.2-6054[aaa+15];NRAD;
761;J1423-6953;0.333411;1.45e-15;*;*;*;
762;J1424-5556;0.770375;7.80e-16;*;*;*;
763;J1424-56;1.427000;*;*;*;RRAT;
764;J1424-5822;0.366734;3.94e-15;*;*;*;
765;J1424-6438;1.023504;2.40e-16;*;*;*;
766;J1425-5723;0.353263;2.20e-17;*;*;*;
767;J1425-5759;0.707868;7.42e-16;*;*;*;
768;J1425-6210;0.501730;4.78e-16;*;*;*;
769;J1427-4158;0.586486;6.21e-16;*;*;*;
770;B1424-55;0.570290;2.08e-15;*;*;*;
771;J1429-5911;0.115843;3.05e-14;*;GRS:2FGL_J1430.0-5909[naa+12];NRAD;
772;J1429-5935;0.763915;4.28e-14;*;*;*;
773;B1426-66;0.785441;2.77e-15;*;*;*;
774;J1431-4715;0.002012;1.41e-20;ELL1;*;*;
775;J1431-5740;0.004111;6.42e-21;BT;*;*;
776;J1432-5032;2.034989;5.92e-15;*;*;*;
777;J1433+00;*;*;*;*;RRAT[dsm+16];
778;J1433-6038;1.954430;5.63e-15;*;*;*;
779;J1434-6006;0.306368;3.02e-15;*;*;*;
780;J1434-6029;0.963348;1.03e-15;*;*;*;
781;J1434+7257;0.041741;5.50e-19;*;*;*;
782;J1435-5954;0.472995;1.54e-15;*;*;*;
783;J1435-6100;0.009348;2.45e-20;ELL1;*;*;
784;J1437-5959;0.061696;8.59e-15;*;SNR:G315.9-0.0,PWN:G315.78-0.23[nbg+12];*;
785;J1437-6146;0.467616;6.33e-15;*;*;*;
786;J1439-5501;0.028635;1.42e-19;ELL1;*;*;
787;J1439+76;0.947903;*;*;*;RRAT;
788;B1436-63;0.459605;1.12e-15;*;*;*;
789;J1441-6137;1.175840;3.60e-16;*;*;*;
790;J1443-5122;0.732061;3.38e-16;*;*;*;
791;J1444-5941;2.760228;8.23e-15;*;*;*;
792;J1444-6026;4.758576;1.85e-14;*;*;RRAT;
793;J1446-4701;0.002195;9.81e-21;ELL1;GRS:2FGL_J1446.8-4701[naa+12];HE;
794;J1449-5846;0.463330;8.60e-17;*;*;*;
795;J1452-5851;0.386625;5.07e-14;*;*;*;
796;J1452-6036;0.154991;1.45e-15;*;*;*;
797;J1453+1902;0.005792;1.17e-20;*;*;*;
798;B1449-64;0.179485;2.75e-15;*;*;*;
799;J1454-5846;0.045249;8.17e-19;BT;*;*;
800;J1455-3330;0.007987;2.43e-20;DDH;*;HE[lsg+15];
801;J1455-59;0.176191;*;*;*;*;
802;J1456-48;0.536810;*;*;*;*;
803;B1451-68;0.263377;9.83e-17;*;*;*;
804;B1454-51;1.748301;5.29e-15;*;*;*;
805;J1457-5900;1.498637;3.66e-15;*;*;*;
806;J1457-5902;0.390739;1.23e-14;*;*;*;
807;J1459-6053;0.103151;2.53e-14;*;GRS:2FGL_J1459.4-6054[naa+12];NRAD;
808;J1501-0046;0.464037;2.39e-16;*;*;*;
809;J1501-5637;0.782949;1.70e-16;*;*;*;
810;J1502-5653;0.535504;1.83e-15;*;*;*;
811;J1502-5828;0.668105;3.64e-14;*;*;*;
812;J1502-6128;0.842104;1.35e-15;*;*;*;
813;J1502-6752;0.026744;3.15e-19;ELL1;*;*;
814;J1503+2111;3.314002;1.40e-16;*;*;*;
815;J1504-5621;0.412985;5.53e-15;*;*;*;
816;B1503-51;0.840739;6.37e-15;*;*;*;
817;B1504-43;0.286757;1.60e-15;*;*;*;
818;B1503-66;0.355655;1.16e-15;*;*;*;
819;B1508+55;0.739682;5.00e-15;*;*;*;
820;J1509-5850;0.088922;9.17e-15;*;XRS:PWN[hb07c],GRS:2FGL_J1509.6-5850[naa;HE[waa+10];
821;J1509-6015;0.339038;2.12e-15;*;*;*;
822;B1507-44;0.943871;6.10e-16;*;*;*;
823;J1511-5414;0.200384;4.85e-16;*;*;*;
824;J1511-5835;0.301511;3.44e-16;*;*;*;
825;J1512-5431;2.040532;1.92e-15;*;*;*;
826;B1508-57;0.128694;6.85e-15;*;*;*;
827;J1513-2550;0.002119;2.16e-20;ELL1;GRS:3FGL_J1513.4-2549[san16];HE;
828;J1513-5739;0.973458;2.75e-14;*;*;*;
829;B1509-58;0.151251;1.53e-12;*;SNR:G320.4-1.2,GRS:PWN:2FGL_J1514.0-5915;HE[umw+93,ppp+09];
830;J1513-5946;1.046117;8.53e-15;*;*;RRAT;
831;B1510-48;0.454839;9.25e-16;*;*;*;
832;J1514-4946;0.003589;1.86e-20;ELL1;GRS:3FGL_J1514.2-4947[aaa+15];HE;
833;J1514-5925;0.148796;2.88e-15;*;*;*;
834;J1515-5720;0.286646;6.10e-15;*;*;*;
835;J1517-32;0.064402;*;*;*;*;
836;J1517-4356;0.650837;2.16e-16;*;*;*;
837;J1517-4636;0.886612;2.10e-15;*;*;*;
838;B1516+02A;0.005554;4.12e-20;*;GC:M5;*;
839;B1516+02B;0.007947;-3.33e-21;BT;GC:M5;*;
840;J1518+0204C;0.002484;2.61e-20;ELL1;GC:M5,OPT:COM_M5C[prf+14];*;
841;J1518+0204D;0.002988;*;BT;GC:M5;*;
842;J1518+0204E;0.003182;*;BT;GC:M5;*;
843;J1518-0627;0.794997;4.18e-16;*;*;*;
844;J1518+4904;0.040935;2.72e-20;DD;*;*;
845;J1518-5415;0.214925;4.06e-17;*;*;*;
846;J1519-5734;0.518758;4.27e-15;*;*;*;
847;J1519-6106;2.154307;8.37e-15;*;*;*;
848;J1519-6308;1.254052;5.96e-15;*;*;*;
849;J1522-5525;1.389605;3.30e-15;*;*;*;
850;J1522-5735;0.102136;3.12e-14;*;SNR:G321.9-0.3(?)[pga+13],GRS:3FGL_J1521;NRAD;
851;B1518-58;0.395353;2.00e-15;*;*;*;
852;J1524-5625;0.078219;3.90e-14;*;*;*;
853;J1524-5706;1.116049;3.56e-13;*;*;*;
854;J1524-5819;0.961043;1.26e-13;*;*;*;
855;J1525-5417;1.011694;1.62e-14;*;*;*;
856;J1525-5523;0.355156;8.96e-18;*;*;*;
857;J1525-5545;0.011360;1.31e-19;ELL1;*;*;
858;J1525-5605;0.280349;1.16e-16;*;*;*;
859;J1526-5633;0.301888;1.23e-16;*;*;*;
860;B1524-39;2.417582;1.91e-14;*;*;*;
861;B1523-55;1.048705;1.13e-14;*;*;*;
862;J1528-3146;0.060822;2.49e-19;DD;*;*;
863;J1528-4109;0.526556;3.96e-16;*;*;*;
864;J1528-5547;3.467302;7.75e-15;*;*;*;
865;J1528-5838;0.355687;2.48e-14;*;GRS:3FGL_J1528.3-5836[aaa+15];NRAD;
866;J1529-3828;0.008486;2.70e-20;DD;*;*;
867;J1529-5355;0.891265;8.10e-16;*;*;*;
868;J1529-5611;0.822249;4.10e-15;*;*;*;
869;J1530-5327;0.278957;4.68e-15;*;*;*;
870;J1530-63;0.910300;*;*;*;*;
