#;NAME;P0;P1;BINARY;ASSOC;PSR;
;;(s);;(type);;TYPE;
87;J0158+21;0.505300;*;*;*;*;
88;J0201+7005;1.349184;5.51e-15;*;*;RRAT;
89;J0205+6449;0.065716;1.94e-13;*;SNR:PWN:3C58,GRS:2FGL_J0205.8+6448[naa+1;HE;
90;B0203-40;0.630550;1.20e-15;*;*;*;
91;J0211-8159;1.077333;2.90e-16;*;*;*;
92;J0212+5222;0.376386;6.60e-15;*;*;*;
93;J0214+5222;0.024575;2.99e-19;BT;*;*;
94;J0215+6218;0.548880;6.62e-16;*;*;*;
95;J0218+4232;0.002323;7.74e-20;ELL1;GRS:2FGL_J0218.1+4233[naa+12];HE[khvb98,aaa+09f];
96;J0220+36;1.029700;*;*;*;*;
97;J0229+20;0.806900;*;*;*;*;
98;B0226+70;1.466820;3.11e-15;*;*;*;
99;J0241+16;1.545400;*;*;*;*;
100;J0242+62;0.592000;*;*;*;*;
101;J0243+6027;1.473000;*;*;*;*;
102;J0244+14;2.128100;*;*;*;*;
103;J0248+6021;0.217094;5.51e-14;*;GRS:2FGL_J0248.1+6021[naa+12];HE[tpc+11];
104;J0250+5854;23.535378;2.72e-14;*;*;*;
105;J0251+26;0.002540;*;BT;GRS:3FGL_J0251.1+2603[cck+16];HE;
106;B0254-53;0.447708;3.06e-17;*;*;*;
107;J0303+22;1.207000;*;*;*;*;
108;B0301+19;1.387584;1.30e-15;*;*;*;
109;J0308+74;0.003160;*;*;GRS:2FGL_J0308.3+7442[naa+12];HE;
110;J0319+13;*;*;*;*;RRAT[ttm+18];
111;B0320+39;3.032072;6.36e-16;*;*;*;
112;J0324+5239;0.336620;3.81e-16;*;*;*;
113;J0325+6744;1.364679;1.55e-15;*;*;*;
114;J0329+1654;0.893320;2.15e-16;*;*;*;
115;B0329+54;0.714520;2.05e-15;*;*;*;
116;J0332+79;2.056210;*;*;*;RRAT;
117;B0331+45;0.269201;7.35e-18;*;*;*;
118;J0335+6623;1.761934;4.81e-15;*;*;*;
119;J0337+1715;0.002733;1.77e-20;ELL1;OPT:[rsa+14],XRS:[ska+16];*;
120;J0340+4130;0.003299;7.05e-21;*;GRS:2FGL_J0340.4+4131[naa+12];HE;
121;J0341+5711;1.888000;*;*;*;*;
122;J0343-3000;2.597027;5.70e-17;*;*;*;
123;B0339+53;1.934478;1.34e-14;*;*;*;
124;J0348+0432;0.039123;2.41e-19;ELL1;*;*;
125;J0357+3205;0.444104;1.30e-14;*;GRS:2FGL_J0357.8+3205[naa+12];NRAD;
126;B0353+52;0.197030;4.77e-16;*;*;*;
127;J0358+4155;0.226484;1.46e-16;*;*;*;
128;B0355+54;0.156384;4.39e-15;*;XRS:PWN[mvk+06];HE[to07];
129;J0358+6627;0.091506;1.09e-17;*;*;*;
130;J0359+5414;0.079427;1.67e-14;*;GRS:3FGL_J0359.5+5413[aaa+15],XRS:[wcp+1;NRAD;
131;B0403-76;0.545253;1.54e-15;*;*;*;
132;B0402+61;0.594576;5.57e-15;*;*;*;
133;J0407+1607;0.025702;7.90e-20;BT;*;*;
134;J0408+551;1.837000;*;*;*;*;
135;J0408+552;0.754000;*;*;*;*;
136;J0410-31;1.878500;*;*;*;RRAT;
137;J0413+58;0.687000;*;*;*;*;
138;B0410+69;0.390715;7.66e-17;*;*;*;
139;J0417+35;0.654400;*;*;*;*;
140;J0417+61;0.440283;*;*;*;*;
141;J0418-4154;0.757119;9.74e-16;*;*;*;
142;J0418+5732;9.078388;4.10e-15;*;XRS:SGR_0418+5729;AXP,NRAD;
143;J0419+44;1.241000;*;*;*;*;
144;J0420-5022;3.453004;2.76e-14;*;XRS:RX_J0420.0-5022[hmp98],OPT:[kkvh11];XINS,NRAD;
145;J0421-0345;2.161308;1.16e-15;*;*;*;
146;J0421+32;0.900500;*;*;*;*;
147;J0426+4933;0.922475;3.93e-14;*;*;*;
148;J0435+2749;0.326279;8.17e-18;*;*;*;
149;J0437-4715;0.005757;5.73e-20;T2;OPT:[bbm+95],GRS:2FGL_J0437.3-4712[naa+1;HE[bt93,aaa+09f];
150;J0447-04;2.188190;*;*;*;RRAT;
151;J0448-2749;0.450448;1.48e-16;*;*;*;
152;J0449-7031;0.479164;3.37e-15;*;EXGAL:LMC;*;
153;B0447-12;0.438014;1.03e-16;*;*;*;
154;J0451-67;0.245454;0.00e+00;*;EXGAL:LMC;*;
155;B0450-18;0.548939;5.75e-15;*;*;*;
156;J0453+1559;0.045782;1.86e-19;DDH;*;*;
157;B0450+55;0.340729;2.37e-15;*;*;*;
158;B0456-69;0.320423;1.02e-14;*;EXGAL:LMC;*;
159;J0456-69;0.117073;*;*;EXGAL:LMC;*;
160;J0456-7031;0.800132;3.67e-14;*;EXGAL:LMC;*;
161;J0457+23;0.504900;*;*;*;*;
162;J0457-6337;2.497012;2.10e-16;*;*;*;
163;J0457-69;0.231390;*;*;EXGAL:LMC;*;
164;J0458-0505;1.883480;5.30e-16;*;*;*;
165;J0458-67;1.133900;*;*;EXGAL:LMC;*;
166;J0459-0210;1.133076;1.40e-15;*;*;*;
167;J0501+4516;5.762097;5.82e-12;*;SNR:G160.9+2.6,OPT:[dml+11];AXP,NRAD;
168;B0458+46;0.638565;5.58e-15;*;*;*;
169;B0502-66;0.691251;2.31e-14;*;EXGAL:LMC;*;
170;J0509+08;0.004100;*;*;*;*;
171;J0509+3801;0.076541;7.93e-18;DDGR;*;*;
172;J0511-6508;0.322062;2.06e-16;*;*;*;
173;J0514-4002A;0.004991;1.17e-21;BT;GC:NGC1851;*;
174;J0514-4407;0.320200;*;*;*;*;
175;J0517+2212;0.222367;1.16e-17;*;*;*;
176;J0518+5416;0.340203;1.68e-15;*;*;*;
177;J0519+44;0.515000;*;*;*;*;
178;J0519-6932;0.263212;6.97e-16;*;EXGAL:LMC;*;
179;J0520-2553;0.241642;3.01e-17;*;*;*;
180;J0521-68;0.433421;*;*;EXGAL:LMC;*;
181;J0522-6847;0.674532;1.77e-14;*;EXGAL:LMC;*;
182;B0523+11;0.354438;7.36e-17;*;*;*;
183;J0525-6607;8.047000;6.50e-11;*;XRS:SGR_0526-66,SNR:N49(?)[ekl+80];AXP,NRAD;
184;B0525+21;3.745539;4.01e-14;*;*;*;
185;B0529-66;0.975725;1.55e-14;*;EXGAL:LMC;*;
186;J0532-6639;0.642743;5.35e-15;*;EXGAL:LMC;*;
187;J0532-69;1.149196;*;*;EXGAL:LMC;*;
188;J0533+0402;0.963018;1.60e-16;*;*;*;
189;J0533+6759;0.004388;1.26e-20;*;GRS:3FGL_J0534.0+6759[san16];HE;
190;B0531+21;0.033392;4.21e-13;*;SNR:PWN:Crab[ccl+69],GRS:2FGL_J0534.5+22;HE[cdt69,fhm+69,hjm+70];
191;J0534-6703;1.817565;4.25e-13;*;EXGAL:LMC;*;
192;J0535-66;0.210524;*;*;EXGAL:LMC;*;
193;J0535-6935;0.200511;1.15e-14;*;EXGAL:LMC;*;
194;B0538-75;1.245856;5.65e-16;*;*;*;
195;J0537-69;0.112613;*;*;EXGAL:LMC;*;
196;J0537-6910;0.016122;5.18e-14;*;EXGAL:LMC,SNR:N157B;NRAD;
197;J0538+2817;0.143158;3.67e-15;*;SNR:S147[acj+96];HE[mkz+03];
198;J0540+3207;0.524271;4.48e-16;*;*;*;
199;B0540-69;0.050570;4.79e-13;*;EXGAL:LMC,SNR:0540-693;HE[mp85];
200;J0540-7125;1.286015;8.20e-16;*;*;*;
201;J0542-68;0.425189;*;*;EXGAL:LMC;*;
202;B0540+23;0.245975;1.54e-14;*;XRS:[pb15];*;
203;J0543-6851;0.708954;3.94e-15;*;EXGAL:LMC;*;
204;J0544+20;*;*;*;*;RRAT[dsm+16];
205;J0545-03;1.073930;*;*;*;RRAT;
206;J0546+2441;2.843850;7.65e-15;*;*;*;
207;J0550+09;1.745000;*;*;*;RRAT[dsm+16];
208;J0554+3107;0.464961;1.43e-13;*;SNR:G179.0+2.6(?)[pga+13],GRS:3FGL_J0554;NRAD;
209;J0555+3948;1.146906;*;*;*;*;
210;J0555-7056;0.827838;5.96e-15;*;EXGAL:LMC;*;
211;J0557+1550;0.002556;7.35e-21;ELL1;*;*;
212;J0557-2948;0.043643;7.30e-20;*;*;*;
213;B0559-57;2.261365;2.78e-15;*;*;*;
214;B0559-05;0.395969;1.30e-15;*;*;*;
