#;NAME;P0;P1;ASSOC;PSR;
;;(s);;;TYPE;
374;B1957+20;0.001607;1.69e-20;GRS:4FGL_J1959.5+2048[aab+22],XRS:[hb07a;HE[aaa+10g];
375;J2001+0701;0.006820;1.44e-20;*;*;
376;J2006+0148;0.002164;3.30e-21;GRS:4FGL_J2006.4+0147[aab+22];HE[drc+21];
377;J2010+3051;0.004816;4.87e-21;*;*;
378;J2015+0756;0.004328;6.67e-21;*;*;
379;J2016+1948;0.064940;4.01e-19;*;*;
380;J2017+0603;0.002896;7.99e-21;GRS:4FGL_J2017.4+0602[aab+22],XRS:[pb15];HE;
381;J2017-1614;0.002314;2.45e-21;GRS:4FGL_J2017.7-1612[aab+22];HE;
382;J2019+2425;0.003935;7.02e-21;*;*;
383;J2022+2534;0.002646;6.16e-21;*;*;
384;J2032+4127;0.143246;1.13e-14;GRS:4FGL_J2032.2+4127[aab+22],OPT:MT91_2;HE;
385;J2033+1734;0.005949;1.11e-20;*;*;
386;J2039-3616;0.003275;8.41e-21;GRS:4FGL_J2039.4-3616[aab+22];HE[slr+14],HE[aab+22];
387;J2039-5617;0.002651;1.42e-20;GRS:4FGL_J2039.5-5617[aab+22];HE[cnv+21],HE[cms+21];
388;J2042+0246;0.004534;1.40e-20;GRS:4FGL_J2042.2+0245[aab+22];HE;
389;J2043+1711;0.002380;5.24e-21;GRS:4FGL_J2043.3+1711[aab+22];HE;
390;J2045+3633;0.031682;5.88e-19;*;*;
391;J2047+1053;0.004286;2.08e-20;GRS:4FGL_J2047.3+1051[aab+22];HE;
392;J2051-0827;0.004509;1.27e-20;GRS:4FGL_J2051.0-0826[aab+22];HE[sbl+96],HE[wkh+12];
393;J2052+1219;0.001985;6.70e-21;GRS:4FGL_J2052.7+1218[aab+22];HE[cck+16],HE[aab+22];
394;J2053+4650;0.012586;1.72e-19;*;*;
395;J2055+3829;0.002089;1.00e-21;*;*;
396;J2108+4516;0.577231;4.37e-15;*;*;
397;J2115+5448;0.002603;7.49e-20;GRS:4FGL_J2115.1+5449[aab+22];HE;
398;J2116+1345;0.002219;1.76e-21;GRS:4FGL_J2117.0+1344;HE[saa+23];
399;B2127+11C;0.030529;4.99e-18;GC:M15(NGC7078);*;
400;J2129-0429;0.007620;*;GRS:4FGL_J2129.8-0428[aab+22],OPT:[bkb+1;HE;
401;J2129-5721;0.003726;2.09e-20;*;*;
402;J2140-2310A;0.011019;-5.18e-20;GC:M30(NGC7099);*;
403;J2144-5237;0.005041;8.90e-21;*;*;
404;J2145-0750;0.016052;2.98e-20;*;*;
405;J2150-0326;0.003511;8.16e-21;*;*;
406;J2204+2700;0.084703;1.31e-19;*;*;
407;J2205+6012;0.002416;1.98e-20;GRS:4FGL_J2205.8-8254c[aab+22];HE[goc+19],HE[aab+22];
408;J2208+4610;0.642506;2.68e-18;*;*;
409;J2214+3000;0.003119;1.47e-20;GRS:4FGL_J2214.6+3000[aab+22],OPT:[sh14];HE;
410;J2215+5135;0.002610;3.34e-20;GRS:4FGL_J2215.6+5135[aab+22],OPT:[bvr+1;HE;
411;J2222-0137;0.032818;5.80e-19;OPT:[blr+13],OPT:[kbd+14],XRS:[pb15];*;
412;J2229+2643;0.002978;1.52e-21;*;*;
413;J2234+0611;0.003577;1.20e-20;*;*;
414;J2234+0944;0.003627;2.01e-20;GRS:4FGL_J2234.7+0943[aab+22];HE;
415;J2236-5527;0.006908;9.60e-21;*;*;
416;J2241-5236;0.002187;6.90e-21;GRS:4FGL_J2241.7-5236[aab+22],XRS:;HE;
417;J2256-1024;0.002295;1.14e-20;GRS:4FGL_J2256.8-1024[aab+22],OPT:[bvr+1;HE;
418;J2302+4442;0.005192;1.39e-20;GRS:4FGL_J2302.7+4443[aab+22],XRS:XMMUJ2;HE;
419;B2303+46;1.066371;5.69e-16;*;*;
420;J2310-0555;0.002613;4.96e-21;GRS:4FGL_J2310.0-0555[aab+22];HE;
421;J2317+1439;0.003445;2.43e-21;GRS:4FGL_J2317.3+1433[aab+22],OPT:[dsw+1;HE[aab+22];
422;J2322-2650;0.003463;5.83e-22;OPT:(?)[sbb+18];*;
423;J2338+4818;0.118710;1.97e-18;*;*;
424;J2339-0533;0.002884;1.41e-20;GRS:4FGL_J2339.6-0533[aab+22],OPT:[rs11];HE[rpp+20];
425;J2355+0051;0.003719;3.22e-21;*;*;
