#;NAME;P0;P1;ASSOC;PSR;
;;(s);;;TYPE;
76;J1017-7156;0.002339;2.21e-21;*;*;
77;J1018-1523;0.083153;1.09e-19;*;*;
78;J1022+1001;0.016453;4.33e-20;*;*;
79;J1023+0038;0.001688;6.93e-21;OPT:AY_Sex[asr+09],XRS:[akb+10];HE[jah+16],HE[aps+17];
80;J1030-6008;0.027324;*;*;*;
81;J1034-5934;0.034471;*;*;*;
82;J1036-4353;0.001680;*;*;*;
83;J1036-8317;0.003408;*;GRS:4FGL_J1036.5-8318[aab+22];HE[ckr+15];
84;J1045-0436;0.024048;7.86e-20;*;*;
85;J1045-4509;0.007474;1.77e-20;*;*;
86;J1048+2339;0.004665;3.01e-20;GRS:4FGL_J1048.6+2340[aab+22];HE[drc+21];
87;J1056-7117;0.026310;6.30e-20;*;*;
88;J1101-6424;0.005109;1.80e-21;*;*;
89;J1108-6329;0.004278;*;*;*;
90;J1120-3618;0.005557;9.26e-22;*;*;
91;J1124-3653;0.002410;6.01e-21;GRS:4FGL_J1124.0-3653[aab+22];HE;
92;J1125+7819;0.004202;6.94e-21;*;*;
93;J1125-5825;0.003102;6.09e-20;GRS:4FGL_J1125.6-5825[aab+22];HE;
94;J1125-6014;0.002630;3.73e-21;GRS:4FGL_J1126.4-6011[aab+22];HE[sbc+19];
95;J1137+7528;0.002513;3.24e-21;GRS:4FGL_J1137.6+7527[aab+22];HE;
96;J1141-6545;0.393899;4.31e-15;OPT:[abw+11];*;
97;J1142+0119;0.005075;1.50e-20;GRS:4FGL_J1142.8+0120[aab+22];HE;
98;J1146-6610;0.003722;7.93e-21;*;*;
99;J1155-6529;0.078870;*;*;*;
100;J1157-5112;0.043589;1.43e-19;*;*;
101;J1208-5936;0.028714;2.97e-20;*;*;
102;J1216-6410;0.003539;1.62e-21;*;*;
103;J1221-0633;0.001935;5.27e-21;GRS:4FGL_J1221.4-0634[aab+22];HE[aab+22];
104;J1227-4853;0.001686;1.11e-20;GRS:4FGL_J1228.0-4853[aab+22],XRS:XSS_J1;HE[pdb+15],HE[jrr+15];
105;J1227-6208;0.034528;1.87e-19;*;*;
106;J1231-1411;0.003684;2.26e-20;GRS:4FGL_J1231.1-1412[aab+22];HE;
107;J1232-6501;0.088282;8.11e-19;*;*;
108;J1239+3239;0.004701;3.87e-21;*;*;
109;J1244-6359;0.147274;4.40e-18;*;*;
110;B1257+12;0.006219;1.14e-19;XRS:[pkgw07];*;
111;J1301+0833;0.001844;1.06e-20;GRS:4FGL_J1301.6+0834[aab+22],OPT:[lht14;HE;
112;J1302-3258;0.003771;6.54e-21;GRS:4FGL_J1302.4-3258[aab+22];HE[hrm+11],HE[aab+22];
113;B1259-63;0.047763;2.28e-15;*;*;
114;J1306-4035;0.002205;*;GRS:4FGL_J1306.8-4035[aab+22],OPT:SSS_J1;HE[aab+22];
115;J1306-6043;0.005671;*;*;*;
